sninamn,year,ghg_utsl
rep_inst,2012,82
rep_inst,2013,81
rep_inst,2014,76
rep_inst,2015,72
rep_inst,2016,75
rep_inst,2017,72
rep_inst,2018,71
rep_inst,2019,69
rep_inst,2020,71
rep_inst,2021,72
rep_inst,2022,67
rep_inst,2023,
el_gs_vrm,2003,
el_gs_vrm,2004,
el_gs_vrm,2005,
el_gs_vrm,2006,
el_gs_vrm,2007,
el_gs_vrm,2008,7792
el_gs_vrm,2009,8122
el_gs_vrm,2010,10655
el_gs_vrm,2011,8419
el_gs_vrm,2012,7856
el_gs_vrm,2013,7626
el_gs_vrm,2014,6719
el_gs_vrm,2015,6401
el_gs_vrm,2016,6963
el_gs_vrm,2017,6559
el_gs_vrm,2018,6782
el_gs_vrm,2019,5673
el_gs_vrm,2020,5226
el_gs_vrm,2021,6085
el_gs_vrm,2022,5637
el_gs_vrm,2023,
vtnf,2003,
vtnf,2004,
vtnf,2005,
vtnf,2006,
vtnf,2007,
vtnf,2008,15
vtnf,2009,15
vtnf,2010,17
vtnf,2011,18
vtnf,2012,19
vtnf,2013,20
vtnf,2014,22
vtnf,2015,22
vtnf,2016,20
vtnf,2017,19
vtnf,2018,18
vtnf,2019,20
vtnf,2020,21
vtnf,2021,21
vtnf,2022,18
vtnf,2023,
avl_ren,2003,
avl_ren,2004,
avl_ren,2005,
avl_ren,2006,
avl_ren,2007,
avl_ren,2008,2591
avl_ren,2009,2497
avl_ren,2010,2402
avl_ren,2011,2301
avl_ren,2012,2140
avl_ren,2013,2021
avl_ren,2014,1876
avl_ren,2015,1761
avl_ren,2016,1674
avl_ren,2017,1601
avl_ren,2018,1489
avl_ren,2019,1368
avl_ren,2020,1280
avl_ren,2021,1235
avl_ren,2022,1174
avl_ren,2023,
bygg,2003,
bygg,2004,
bygg,2005,
bygg,2006,
bygg,2007,
bygg,2008,1951
bygg,2009,1919
bygg,2010,2018
bygg,2011,2042
bygg,2012,1989
bygg,2013,1969
bygg,2014,1907
bygg,2015,1967
bygg,2016,1980
bygg,2017,1893
bygg,2018,1867
bygg,2019,1942
bygg,2020,1930
bygg,2021,2007
bygg,2022,1809
bygg,2023,
hand,2003,
hand,2004,
hand,2005,
hand,2006,
hand,2007,
hand,2008,2115
hand,2009,1925
hand,2010,2002
hand,2011,2066
hand,2012,1871
hand,2013,1856
hand,2014,1729
hand,2015,1728
hand,2016,1700
hand,2017,1650
hand,2018,1647
hand,2019,1672
hand,2020,1518
hand,2021,1481
hand,2022,1364
hand,2023,
lnd_transp,2003,
lnd_transp,2004,
lnd_transp,2005,
lnd_transp,2006,
lnd_transp,2007,
lnd_transp,2008,3585
lnd_transp,2009,3256
lnd_transp,2010,3359
lnd_transp,2011,3282
lnd_transp,2012,2933
