sni_id,year,ant_for_noll
offentlig_forv,2009,299
offentlig_forv,2010,312
offentlig_forv,2011,278
offentlig_forv,2012,279
offentlig_forv,2013,254
offentlig_forv,2014,277
offentlig_forv,2015,268
offentlig_forv,2016,275
offentlig_forv,2017,276
offentlig_forv,2018,270
offentlig_forv,2019,271
offentlig_forv,2020,266
offentlig_forv,2021,280
offentlig_forv,2022,
offentlig_forv,2023,
detaljhandel_ut_mot,2000,
detaljhandel_ut_mot,2001,
detaljhandel_ut_mot,2002,
detaljhandel_ut_mot,2003,
detaljhandel_ut_mot,2004,
detaljhandel_ut_mot,2005,
detaljhandel_ut_mot,2006,34128
detaljhandel_ut_mot,2007,34443
detaljhandel_ut_mot,2008,32284
detaljhandel_ut_mot,2009,36586
detaljhandel_ut_mot,2010,36373
detaljhandel_ut_mot,2011,35530
detaljhandel_ut_mot,2012,36083
detaljhandel_ut_mot,2013,36399
detaljhandel_ut_mot,2014,37051
detaljhandel_ut_mot,2015,36603
detaljhandel_ut_mot,2016,36502
detaljhandel_ut_mot,2017,36032
detaljhandel_ut_mot,2018,39383
detaljhandel_ut_mot,2019,41729
detaljhandel_ut_mot,2020,42683
detaljhandel_ut_mot,2021,44094
detaljhandel_ut_mot,2022,
detaljhandel_ut_mot,2023,
drycker,2000,
drycker,2001,
drycker,2002,
drycker,2003,
drycker,2004,
drycker,2005,
drycker,2006,72
drycker,2007,67
drycker,2008,62
drycker,2009,94
drycker,2010,129
drycker,2011,160
drycker,2012,219
drycker,2013,288
drycker,2014,334
drycker,2015,385
drycker,2016,420
drycker,2017,464
drycker,2018,547
drycker,2019,575
drycker,2020,600
drycker,2021,603
drycker,2022,
drycker,2023,
el_gas,2000,
el_gas,2001,
el_gas,2002,
el_gas,2003,
el_gas,2004,
el_gas,2005,
el_gas,2006,1040
el_gas,2007,1142
el_gas,2008,1261
el_gas,2009,1518
el_gas,2010,1652
el_gas,2011,1739
el_gas,2012,1913
el_gas,2013,3695
el_gas,2014,5383
el_gas,2015,2839
el_gas,2016,2518
el_gas,2017,2351
el_gas,2018,2379
el_gas,2019,2324
el_gas,2020,2408
el_gas,2021,2602
el_gas,2022,
el_gas,2023,
halso,2000,
halso,2001,
halso,2002,
