sninamn,year,prodvar
rep_inst,2023,
el_gs_vrm,2003,32475
el_gs_vrm,2004,35783
el_gs_vrm,2005,39447
el_gs_vrm,2006,42617
el_gs_vrm,2007,45679
el_gs_vrm,2008,60323
el_gs_vrm,2009,50176
el_gs_vrm,2010,44209
el_gs_vrm,2011,65636
el_gs_vrm,2012,79180
el_gs_vrm,2013,65491
el_gs_vrm,2014,67172
el_gs_vrm,2015,65278
el_gs_vrm,2016,67540
el_gs_vrm,2017,67012
el_gs_vrm,2018,70319
el_gs_vrm,2019,89567
el_gs_vrm,2020,78979
el_gs_vrm,2021,97839
el_gs_vrm,2022,
el_gs_vrm,2023,
vtnf,2003,2159
vtnf,2004,1941
vtnf,2005,1857
vtnf,2006,1604
vtnf,2007,1821
vtnf,2008,1876
vtnf,2009,1045
vtnf,2010,1084
vtnf,2011,1373
vtnf,2012,1604
vtnf,2013,1677
vtnf,2014,1915
vtnf,2015,2205
vtnf,2016,2456
vtnf,2017,2028
vtnf,2018,1857
vtnf,2019,2267
vtnf,2020,2895
vtnf,2021,3009
vtnf,2022,
vtnf,2023,
avl_ren,2003,25583
avl_ren,2004,27769
avl_ren,2005,28609
avl_ren,2006,31580
avl_ren,2007,36035
avl_ren,2008,38557
avl_ren,2009,35220
avl_ren,2010,38866
avl_ren,2011,44439
avl_ren,2012,46237
avl_ren,2013,45175
avl_ren,2014,46015
avl_ren,2015,49199
avl_ren,2016,47434
avl_ren,2017,50595
avl_ren,2018,57342
avl_ren,2019,58842
avl_ren,2020,60406
avl_ren,2021,68888
avl_ren,2022,
avl_ren,2023,
bygg,2003,23759
bygg,2004,30432
bygg,2005,37468
bygg,2006,48893
bygg,2007,62334
bygg,2008,69789
bygg,2009,71859
bygg,2010,81418
bygg,2011,93469
bygg,2012,103697
bygg,2013,109476
bygg,2014,124414
bygg,2015,146282
bygg,2016,164399
bygg,2017,191834
bygg,2018,223843
bygg,2019,249013
bygg,2020,261963
bygg,2021,283107
bygg,2022,
bygg,2023,
hnd_motc,2003,240
hnd_motc,2004,273
hnd_motc,2005,290
hnd_motc,2006,276
hnd_motc,2007,306
hnd_motc,2008,160
hnd_motc,2009,158
hnd_motc,2010,203
hnd_motc,2011,225
hnd_motc,2012,334
hnd_motc,2013,317
hnd_motc,2014,322
hnd_motc,2015,333
hnd_motc,2016,405
hnd_motc,2017,393
hnd_motc,2018,381
hnd_motc,2019,376
hnd_motc,2020,348
hnd_motc,2021,391
hnd_motc,2022,
hnd_motc,2023,
prt_prv,2003,2238
prt_prv,2004,2436
prt_prv,2005,2555
prt_prv,2006,3195
prt_prv,2007,3014
prt_prv,2008,3719
prt_prv,2009,3260
prt_prv,2010,2277
prt_prv,2011,2535
prt_prv,2012,2533
prt_prv,2013,2456
prt_prv,2014,2585
prt_prv,2015,2730
prt_prv,2016,2875
prt_prv,2017,3343
prt_prv,2018,3521
prt_prv,2019,3731
prt_prv,2020,3614
prt_prv,2021,4164
prt_prv,2022,
prt_prv,2023,
det_hnd,2003,32
det_hnd,2004,42
det_hnd,2005,47
det_hnd,2006,55
det_hnd,2007,44
det_hnd,2008,54
det_hnd,2009,48
det_hnd,2010,52
det_hnd,2011,61
det_hnd,2012,68
det_hnd,2013,57
det_hnd,2014,60
det_hnd,2015,71
det_hnd,2016,66
det_hnd,2017,68
det_hnd,2018,70
det_hnd,2019,65
det_hnd,2020,86
det_hnd,2021,56
det_hnd,2022,
det_hnd,2023,
lnd_transp,2003,2311
lnd_transp,2004,2333
lnd_transp,2005,2578
lnd_transp,2006,3058
lnd_transp,2007,3268
lnd_transp,2008,3484
lnd_transp,2009,2532
lnd_transp,2010,2339
lnd_transp,2011,2610
lnd_transp,2012,2427
lnd_transp,2013,2468
lnd_transp,2014,2102
lnd_transp,2015,2096
lnd_transp,2016,2170
lnd_transp,2017,2344
lnd_transp,2018,2390
lnd_transp,2019,2454
lnd_transp,2020,2383
lnd_transp,2021,2743
lnd_transp,2022,
lnd_transp,2023,
red,2003,2
red,2004,1
red,2005,3
red,2006,1
red,2007,1
red,2008,
red,2009,
red,2010,
red,2011,
red,2012,
red,2013,
red,2014,1
red,2015,2
red,2016,2
red,2017,2
red,2018,1
red,2019,
red,2020,
red,2021,
red,2022,
red,2023,
flg,2003,0
flg,2004,0
flg,2005,0
flg,2006,0
flg,2007,0
flg,2008,0
flg,2009,0
flg,2010,0
flg,2011,0
flg,2012,0
flg,2013,0
flg,2014,0
flg,2015,0
flg,2016,0
flg,2017,0
flg,2018,0
flg,2019,0
flg,2020,0
flg,2021,0
flg,2022,
flg,2023,
mag_std_trans,2003,416
mag_std_trans,2004,529
mag_std_trans,2005,659
mag_std_trans,2006,558
mag_std_trans,2007,607
mag_std_trans,2008,511
mag_std_trans,2009,358
mag_std_trans,2010,384
mag_std_trans,2011,456
mag_std_trans,2012,395
mag_std_trans,2013,377
mag_std_trans,2014,494
mag_std_trans,2015,824
mag_std_trans,2016,877
mag_std_trans,2017,877
mag_std_trans,2018,1012
mag_std_trans,2019,1085
mag_std_trans,2020,1051
mag_std_trans,2021,1051
mag_std_trans,2022,
mag_std_trans,2023,
htl_rest,2003,287
htl_rest,2004,294
htl_rest,2005,374
htl_rest,2006,386
htl_rest,2007,430
htl_rest,2008,495
htl_rest,2009,452
htl_rest,2010,508
htl_rest,2011,541
htl_rest,2012,538
htl_rest,2013,538
htl_rest,2014,541
htl_rest,2015,575
htl_rest,2016,616
htl_rest,2017,688
htl_rest,2018,709
htl_rest,2019,720
htl_rest,2020,648
htl_rest,2021,690
htl_rest,2022,
