sni_id,year,ant_for_fem
forvarvsarbete_ihu,2023,
grafisk,2000,
grafisk,2001,
grafisk,2002,
grafisk,2003,
grafisk,2004,
grafisk,2005,
grafisk,2006,298
grafisk,2007,278
grafisk,2008,277
grafisk,2009,262
grafisk,2010,264
grafisk,2011,234
grafisk,2012,215
grafisk,2013,193
grafisk,2014,185
grafisk,2015,182
grafisk,2016,181
grafisk,2017,180
grafisk,2018,163
grafisk,2019,158
grafisk,2020,142
grafisk,2021,141
grafisk,2022,
grafisk,2023,
gummi,2000,
gummi,2001,
gummi,2002,
gummi,2003,
gummi,2004,
gummi,2005,
gummi,2006,211
gummi,2007,192
gummi,2008,205
gummi,2009,203
gummi,2010,187
gummi,2011,174
gummi,2012,178
gummi,2013,164
gummi,2014,163
gummi,2015,160
gummi,2016,150
gummi,2017,151
gummi,2018,151
gummi,2019,146
gummi,2020,151
gummi,2021,149
gummi,2022,
gummi,2023,
handel_med,2000,
handel_med,2001,
handel_med,2002,
handel_med,2003,
handel_med,2004,
handel_med,2005,
handel_med,2006,1430
handel_med,2007,1442
handel_med,2008,1452
handel_med,2009,1488
handel_med,2010,1619
handel_med,2011,1595
handel_med,2012,1665
handel_med,2013,1691
handel_med,2014,1686
handel_med,2015,1677
handel_med,2016,1682
handel_med,2017,1703
handel_med,2018,1800
handel_med,2019,1805
handel_med,2020,1812
handel_med,2021,1764
handel_med,2022,
handel_med,2023,
hotell_logi,2000,
hotell_logi,2001,
hotell_logi,2002,
hotell_logi,2003,
hotell_logi,2004,
hotell_logi,2005,
hotell_logi,2006,381
hotell_logi,2007,383
hotell_logi,2008,441
hotell_logi,2009,436
hotell_logi,2010,400
hotell_logi,2011,442
hotell_logi,2012,451
hotell_logi,2013,446
hotell_logi,2014,460
hotell_logi,2015,466
hotell_logi,2016,433
hotell_logi,2017,439
hotell_logi,2018,504
hotell_logi,2019,499
hotell_logi,2020,504
hotell_logi,2021,510
hotell_logi,2022,
hotell_logi,2023,
hushallsproducenter_avd,2000,
hushallsproducenter_avd,2001,
hushallsproducenter_avd,2002,
hushallsproducenter_avd,2003,
hushallsproducenter_avd,2004,
hushallsproducenter_avd,2005,
hushallsproducenter_avd,2006,0
hushallsproducenter_avd,2007,0
hushallsproducenter_avd,2008,0
hushallsproducenter_avd,2009,0
hushallsproducenter_avd,2010,0
hushallsproducenter_avd,2011,0
hushallsproducenter_avd,2012,0
hushallsproducenter_avd,2013,0
hushallsproducenter_avd,2014,0
