sni_id,year,ant_for_tio
drycker,2015,13
drycker,2016,16
drycker,2017,16
drycker,2018,18
drycker,2019,24
drycker,2020,25
drycker,2021,20
drycker,2022,
drycker,2023,
el_gas,2000,
el_gas,2001,
el_gas,2002,
el_gas,2003,
el_gas,2004,
el_gas,2005,
el_gas,2006,62
el_gas,2007,58
el_gas,2008,56
el_gas,2009,53
el_gas,2010,54
el_gas,2011,56
el_gas,2012,58
el_gas,2013,50
el_gas,2014,49
el_gas,2015,58
el_gas,2016,48
el_gas,2017,53
el_gas,2018,56
el_gas,2019,52
el_gas,2020,64
el_gas,2021,68
el_gas,2022,
el_gas,2023,
halso,2000,
halso,2001,
halso,2002,
halso,2003,
halso,2004,
halso,2005,
halso,2006,224
halso,2007,234
halso,2008,256
halso,2009,266
halso,2010,270
halso,2011,281
halso,2012,298
halso,2013,308
halso,2014,306
halso,2015,330
halso,2016,319
halso,2017,323
halso,2018,362
halso,2019,402
halso,2020,409
halso,2021,437
halso,2022,
halso,2023,
enheter_for_konst,2000,
enheter_for_konst,2001,
enheter_for_konst,2002,
enheter_for_konst,2003,
enheter_for_konst,2004,
enheter_for_konst,2005,
enheter_for_konst,2006,58
enheter_for_konst,2007,67
enheter_for_konst,2008,62
enheter_for_konst,2009,62
enheter_for_konst,2010,65
enheter_for_konst,2011,56
enheter_for_konst,2012,66
enheter_for_konst,2013,63
enheter_for_konst,2014,72
enheter_for_konst,2015,67
enheter_for_konst,2016,68
enheter_for_konst,2017,69
enheter_for_konst,2018,59
enheter_for_konst,2019,89
enheter_for_konst,2020,113
enheter_for_konst,2021,106
enheter_for_konst,2022,
enheter_for_konst,2023,
fastighetsbolag_g,2000,
fastighetsbolag_g,2001,
fastighetsbolag_g,2002,
fastighetsbolag_g,2003,
fastighetsbolag_g,2004,
fastighetsbolag_g,2005,
fastighetsbolag_g,2006,378
fastighetsbolag_g,2007,406
fastighetsbolag_g,2008,399
fastighetsbolag_g,2009,411
fastighetsbolag_g,2010,421
fastighetsbolag_g,2011,453
fastighetsbolag_g,2012,457
fastighetsbolag_g,2013,457
fastighetsbolag_g,2014,485
fastighetsbolag_g,2015,493
fastighetsbolag_g,2016,498
fastighetsbolag_g,2017,503
fastighetsbolag_g,2018,573
fastighetsbolag_g,2019,649
fastighetsbolag_g,2020,648
fastighetsbolag_g,2021,626
fastighetsbolag_g,2022,
fastighetsbolag_g,2023,
film_vide,2000,
film_vide,2001,
film_vide,2002,
film_vide,2003,
film_vide,2004,
film_vide,2005,
film_vide,2006,77
film_vide,2007,68
film_vide,2008,58
film_vide,2009,73
film_vide,2010,70
film_vide,2011,76
film_vide,2012,81
film_vide,2013,79
film_vide,2014,99
film_vide,2015,91
film_vide,2016,97
film_vide,2017,88
film_vide,2018,79
film_vide,2019,92
film_vide,2020,87
film_vide,2021,93
film_vide,2022,
film_vide,2023,
fisk,2000,
fisk,2001,
fisk,2002,
fisk,2003,
fisk,2004,
fisk,2005,
