sninamn,year,forv_kv
hnd_motc,2003,28
hnd_motc,2004,24
hnd_motc,2005,22
hnd_motc,2006,20
hnd_motc,2007,21
hnd_motc,2008,11
hnd_motc,2009,12
hnd_motc,2010,16
hnd_motc,2011,16
hnd_motc,2012,21
hnd_motc,2013,22
hnd_motc,2014,22
hnd_motc,2015,24
hnd_motc,2016,28
hnd_motc,2017,31
hnd_motc,2018,31
hnd_motc,2019,30
hnd_motc,2020,20
hnd_motc,2021,22
hnd_motc,2022,
hnd_motc,2023,
prt_prv,2003,344
prt_prv,2004,381
prt_prv,2005,354
prt_prv,2006,403
prt_prv,2007,468
prt_prv,2008,478
prt_prv,2009,464
prt_prv,2010,404
prt_prv,2011,395
prt_prv,2012,429
prt_prv,2013,420
prt_prv,2014,394
prt_prv,2015,402
prt_prv,2016,417
prt_prv,2017,433
prt_prv,2018,411
prt_prv,2019,443
prt_prv,2020,464
prt_prv,2021,513
prt_prv,2022,
prt_prv,2023,
det_hnd,2003,33
det_hnd,2004,27
det_hnd,2005,24
det_hnd,2006,27
det_hnd,2007,24
det_hnd,2008,27
det_hnd,2009,28
det_hnd,2010,35
det_hnd,2011,32
det_hnd,2012,36
det_hnd,2013,43
det_hnd,2014,36
det_hnd,2015,40
det_hnd,2016,29
det_hnd,2017,29
det_hnd,2018,26
det_hnd,2019,27
det_hnd,2020,28
det_hnd,2021,29
det_hnd,2022,
det_hnd,2023,
lnd_transp,2003,123
lnd_transp,2004,137
lnd_transp,2005,135
lnd_transp,2006,182
lnd_transp,2007,193
lnd_transp,2008,185
lnd_transp,2009,169
lnd_transp,2010,185
lnd_transp,2011,202
lnd_transp,2012,178
lnd_transp,2013,163
lnd_transp,2014,109
lnd_transp,2015,113
lnd_transp,2016,130
lnd_transp,2017,135
lnd_transp,2018,127
lnd_transp,2019,118
lnd_transp,2020,103
lnd_transp,2021,119
lnd_transp,2022,
lnd_transp,2023,
red,2003,1
red,2004,0
red,2005,0
red,2006,0
red,2007,0
red,2008,
red,2009,
red,2010,
red,2011,
red,2012,
red,2013,
red,2014,0
red,2015,0
red,2016,0
red,2017,0
red,2018,0
red,2019,
red,2020,
red,2021,
red,2022,
red,2023,
flg,2003,0
flg,2004,0
flg,2005,0
flg,2006,0
flg,2007,0
flg,2008,0
flg,2009,0
flg,2010,0
flg,2011,0
flg,2012,0
flg,2013,0
flg,2014,0
flg,2015,0
flg,2016,0
flg,2017,0
flg,2018,0
flg,2019,0
flg,2020,0
flg,2021,0
flg,2022,
flg,2023,
mag_std_trans,2003,17
mag_std_trans,2004,18
mag_std_trans,2005,19
mag_std_trans,2006,19
mag_std_trans,2007,18
mag_std_trans,2008,14
mag_std_trans,2009,8
mag_std_trans,2010,10
mag_std_trans,2011,13
mag_std_trans,2012,12
mag_std_trans,2013,12
mag_std_trans,2014,14
mag_std_trans,2015,21
mag_std_trans,2016,22
mag_std_trans,2017,17
mag_std_trans,2018,15
mag_std_trans,2019,23
mag_std_trans,2020,24
mag_std_trans,2021,23
mag_std_trans,2022,
mag_std_trans,2023,
htl_rest,2003,135
htl_rest,2004,209
htl_rest,2005,233
htl_rest,2006,279
htl_rest,2007,311
htl_rest,2008,341
htl_rest,2009,349
htl_rest,2010,329
htl_rest,2011,360
htl_rest,2012,392
htl_rest,2013,397
htl_rest,2014,371
htl_rest,2015,406
htl_rest,2016,427
htl_rest,2017,439
htl_rest,2018,432
htl_rest,2019,408
htl_rest,2020,391
htl_rest,2021,390
htl_rest,2022,
htl_rest,2023,
frlg,2003,13
frlg,2004,17
frlg,2005,22
frlg,2006,30
frlg,2007,34
frlg,2008,42
frlg,2009,37
frlg,2010,37
frlg,2011,22
frlg,2012,24
frlg,2013,24
frlg,2014,31
frlg,2015,33
frlg,2016,27
frlg,2017,22
frlg,2018,17
frlg,2019,21
frlg,2020,18
frlg,2021,24
frlg,2022,
frlg,2023,
flm_ljd_vid,2003,
flm_ljd_vid,2004,
flm_ljd_vid,2005,0
flm_ljd_vid,2006,0
flm_ljd_vid,2007,
flm_ljd_vid,2008,
flm_ljd_vid,2009,
flm_ljd_vid,2010,
flm_ljd_vid,2011,
flm_ljd_vid,2012,
flm_ljd_vid,2013,0
flm_ljd_vid,2014,0
flm_ljd_vid,2015,
flm_ljd_vid,2016,
flm_ljd_vid,2017,
flm_ljd_vid,2018,
flm_ljd_vid,2019,
flm_ljd_vid,2020,
flm_ljd_vid,2021,
flm_ljd_vid,2022,
flm_ljd_vid,2023,
telekom,2003,0
telekom,2004,0
telekom,2005,
telekom,2006,
telekom,2007,
telekom,2008,
telekom,2009,
telekom,2010,
telekom,2011,
telekom,2012,
telekom,2013,
telekom,2014,
telekom,2015,
telekom,2016,
telekom,2017,
telekom,2018,
telekom,2019,
telekom,2020,
telekom,2021,
telekom,2022,
telekom,2023,
prog_inf,2003,9
prog_inf,2004,6
prog_inf,2005,8
prog_inf,2006,6
prog_inf,2007,13
prog_inf,2008,14
prog_inf,2009,13
prog_inf,2010,17
prog_inf,2011,25
prog_inf,2012,25
prog_inf,2013,28
prog_inf,2014,28
prog_inf,2015,30
prog_inf,2016,29
prog_inf,2017,28
prog_inf,2018,32
prog_inf,2019,34
prog_inf,2020,31
prog_inf,2021,40
prog_inf,2022,
prog_inf,2023,
fst_frv,2003,89
fst_frv,2004,93
fst_frv,2005,78
fst_frv,2006,32
fst_frv,2007,10
fst_frv,2008,8
fst_frv,2009,8
fst_frv,2010,8
fst_frv,2011,18
fst_frv,2012,16
fst_frv,2013,14
fst_frv,2014,18
fst_frv,2015,19
fst_frv,2016,23
fst_frv,2017,19
fst_frv,2018,23
fst_frv,2019,21
fst_frv,2020,9
fst_frv,2021,13
fst_frv,2022,
fst_frv,2023,
jur_ek_hvd,2003,132
jur_ek_hvd,2004,135
jur_ek_hvd,2005,123
jur_ek_hvd,2006,119
jur_ek_hvd,2007,131
jur_ek_hvd,2008,138
jur_ek_hvd,2009,126
jur_ek_hvd,2010,143
jur_ek_hvd,2011,138
jur_ek_hvd,2012,150
jur_ek_hvd,2013,141
jur_ek_hvd,2014,149
jur_ek_hvd,2015,163
jur_ek_hvd,2016,197
jur_ek_hvd,2017,204
jur_ek_hvd,2018,162
jur_ek_hvd,2019,172
jur_ek_hvd,2020,154
jur_ek_hvd,2021,155
jur_ek_hvd,2022,
jur_ek_hvd,2023,
ark_tek_vet,2003,1673
ark_tek_vet,2004,1753
ark_tek_vet,2005,1860
ark_tek_vet,2006,2031
ark_tek_vet,2007,2245
ark_tek_vet,2008,2374
ark_tek_vet,2009,2224
ark_tek_vet,2010,2391
ark_tek_vet,2011,2269
ark_tek_vet,2012,2380
ark_tek_vet,2013,2379
ark_tek_vet,2014,2397
ark_tek_vet,2015,2545
ark_tek_vet,2016,2785
ark_tek_vet,2017,2901
ark_tek_vet,2018,3068
ark_tek_vet,2019,3184
ark_tek_vet,2020,3207
ark_tek_vet,2021,3533
ark_tek_vet,2022,
ark_tek_vet,2023,
rek_mrknd,2003,83
rek_mrknd,2004,99
rek_mrknd,2005,115
rek_mrknd,2006,110
rek_mrknd,2007,127
rek_mrknd,2008,147
rek_mrknd,2009,179
rek_mrknd,2010,191
rek_mrknd,2011,192
rek_mrknd,2012,204
rek_mrknd,2013,225
rek_mrknd,2014,210
rek_mrknd,2015,196
rek_mrknd,2016,204
rek_mrknd,2017,237
rek_mrknd,2018,240
rek_mrknd,2019,241
rek_mrknd,2020,251
rek_mrknd,2021,252
rek_mrknd,2022,
rek_mrknd,2023,
uthyr,2003,1
uthyr,2004,2
uthyr,2005,2
uthyr,2006,2
uthyr,2007,2
uthyr,2008,12
uthyr,2009,16
uthyr,2010,21
uthyr,2011,23
uthyr,2012,25
uthyr,2013,28
uthyr,2014,34
uthyr,2015,33
uthyr,2016,42
uthyr,2017,50
uthyr,2018,55
uthyr,2019,58
uthyr,2020,62
uthyr,2021,80
uthyr,2022,
uthyr,2023,
arbf_res,2003,320
arbf_res,2004,327
arbf_res,2005,303
arbf_res,2006,300
arbf_res,2007,333
arbf_res,2008,320
arbf_res,2009,297
arbf_res,2010,201
arbf_res,2011,204
arbf_res,2012,214
arbf_res,2013,231
arbf_res,2014,260
arbf_res,2015,272
arbf_res,2016,261
arbf_res,2017,230
arbf_res,2018,250
arbf_res,2019,244
arbf_res,2020,220
arbf_res,2021,209
arbf_res,2022,
arbf_res,2023,
utbild,2003,49
utbild,2004,69
utbild,2005,71
utbild,2006,71
utbild,2007,78
utbild,2008,77
utbild,2009,68
utbild,2010,86
utbild,2011,66
utbild,2012,111
utbild,2013,101
utbild,2014,100
utbild,2015,99
utbild,2016,122
utbild,2017,113
utbild,2018,106
utbild,2019,115
utbild,2020,116
utbild,2021,128
utbild,2022,
utbild,2023,
hls_sjkvrd,2003,1
hls_sjkvrd,2004,1
hls_sjkvrd,2005,5
hls_sjkvrd,2006,2
hls_sjkvrd,2007,5
hls_sjkvrd,2008,5
hls_sjkvrd,2009,7
hls_sjkvrd,2010,6
hls_sjkvrd,2011,6
