sni_id,year,res_rakn
industri_for_tra,2020,5790
industri_for_tra,2021,14179
industri_for_tra,2022,10369
industri_for_tra,2023,
informationstjanstforetag,2000,
informationstjanstforetag,2001,
informationstjanstforetag,2002,
informationstjanstforetag,2003,
informationstjanstforetag,2004,
informationstjanstforetag,2005,
informationstjanstforetag,2006,
informationstjanstforetag,2007,
informationstjanstforetag,2008,126
informationstjanstforetag,2009,705
informationstjanstforetag,2010,815
informationstjanstforetag,2011,528
informationstjanstforetag,2012,-20
informationstjanstforetag,2013,-939
informationstjanstforetag,2014,-380
informationstjanstforetag,2015,-63
informationstjanstforetag,2016,1045
informationstjanstforetag,2017,-2982
informationstjanstforetag,2018,6297
informationstjanstforetag,2019,459
informationstjanstforetag,2020,-3612
informationstjanstforetag,2021,1862
informationstjanstforetag,2022,-9300
informationstjanstforetag,2023,
intresseorganisationer,2000,
intresseorganisationer,2001,
intresseorganisationer,2002,
intresseorganisationer,2003,
intresseorganisationer,2004,
intresseorganisationer,2005,
intresseorganisationer,2006,
intresseorganisationer,2007,
intresseorganisationer,2008,-1322
intresseorganisationer,2009,1561
intresseorganisationer,2010,520
intresseorganisationer,2011,598
intresseorganisationer,2012,708
intresseorganisationer,2013,4727
intresseorganisationer,2014,2214
intresseorganisationer,2015,2263
intresseorganisationer,2016,5646
intresseorganisationer,2017,4075
intresseorganisationer,2018,3153
intresseorganisationer,2019,3290
intresseorganisationer,2020,1685
intresseorganisationer,2021,6350
intresseorganisationer,2022,550
intresseorganisationer,2023,
jordbruksforetag_serv,2000,
jordbruksforetag_serv,2001,
jordbruksforetag_serv,2002,
jordbruksforetag_serv,2003,
jordbruksforetag_serv,2004,
jordbruksforetag_serv,2005,
jordbruksforetag_serv,2006,
jordbruksforetag_serv,2007,
jordbruksforetag_serv,2008,8878
jordbruksforetag_serv,2009,5945
jordbruksforetag_serv,2010,10240
jordbruksforetag_serv,2011,10026
jordbruksforetag_serv,2012,8466
jordbruksforetag_serv,2013,7827
jordbruksforetag_serv,2014,10206
jordbruksforetag_serv,2015,10307
jordbruksforetag_serv,2016,10499
jordbruksforetag_serv,2017,12719
jordbruksforetag_serv,2018,9092
jordbruksforetag_serv,2019,12826
jordbruksforetag_serv,2020,12315
jordbruksforetag_serv,2021,14067
jordbruksforetag_serv,2022,14975
jordbruksforetag_serv,2023,
juridiska_ek_byr,2000,
juridiska_ek_byr,2001,
juridiska_ek_byr,2002,
juridiska_ek_byr,2003,
juridiska_ek_byr,2004,
juridiska_ek_byr,2005,
juridiska_ek_byr,2006,
juridiska_ek_byr,2007,
juridiska_ek_byr,2008,9671
juridiska_ek_byr,2009,8862
juridiska_ek_byr,2010,10905
juridiska_ek_byr,2011,11112
juridiska_ek_byr,2012,9615
juridiska_ek_byr,2013,11627
juridiska_ek_byr,2014,14238
juridiska_ek_byr,2015,14728
juridiska_ek_byr,2016,17173
juridiska_ek_byr,2017,18165
juridiska_ek_byr,2018,22073
juridiska_ek_byr,2019,17636
juridiska_ek_byr,2020,22768
juridiska_ek_byr,2021,26119
juridiska_ek_byr,2022,20035
juridiska_ek_byr,2023,
