sni_id,gender,year,ant_forv_tot_reg
hotell_rest_i,2,2007,
hotell_rest_i,2,2008,57937
hotell_rest_i,2,2009,58814
hotell_rest_i,2,2010,63225
hotell_rest_i,2,2011,65716
hotell_rest_i,2,2012,70165
hotell_rest_i,2,2013,74177
hotell_rest_i,2,2014,76106
hotell_rest_i,2,2015,78728
hotell_rest_i,2,2016,81012
hotell_rest_i,2,2017,83794
hotell_rest_i,2,2018,84778
hotell_rest_i,2,2019,90007
hotell_rest_i,2,2020,80765
hotell_rest_i,2,2021,87824
hotell_rest_i,2,2022,94868
hotell_rest_i,2,2023,
information_komm,2,2000,
information_komm,2,2001,
information_komm,2,2002,
information_komm,2,2003,
information_komm,2,2004,
information_komm,2,2005,
information_komm,2,2006,
information_komm,2,2007,
information_komm,2,2008,115254
information_komm,2,2009,113902
information_komm,2,2010,114459
information_komm,2,2011,118603
information_komm,2,2012,120849
information_komm,2,2013,123395
information_komm,2,2014,125448
information_komm,2,2015,126355
information_komm,2,2016,140459
information_komm,2,2017,144783
information_komm,2,2018,149621
information_komm,2,2019,154436
information_komm,2,2020,155773
information_komm,2,2021,163524
information_komm,2,2022,172186
information_komm,2,2023,
jord_skog,2,2000,
jord_skog,2,2001,
jord_skog,2,2002,
jord_skog,2,2003,
jord_skog,2,2004,
jord_skog,2,2005,
jord_skog,2,2006,
jord_skog,2,2007,
jord_skog,2,2008,59348
jord_skog,2,2009,60672
jord_skog,2,2010,63369
jord_skog,2,2011,77312
jord_skog,2,2012,76712
jord_skog,2,2013,76751
jord_skog,2,2014,76283
jord_skog,2,2015,75121
jord_skog,2,2016,72349
jord_skog,2,2017,72720
jord_skog,2,2018,70139
jord_skog,2,2019,73520
jord_skog,2,2020,71164
jord_skog,2,2021,69546
jord_skog,2,2022,68336
jord_skog,2,2023,
kulturella,2,2000,
kulturella,2,2001,
kulturella,2,2002,
kulturella,2,2003,
kulturella,2,2004,
kulturella,2,2005,
kulturella,2,2006,
kulturella,2,2007,
kulturella,2,2008,79005
kulturella,2,2009,80128
kulturella,2,2010,81070
kulturella,2,2011,83176
kulturella,2,2012,85982
kulturella,2,2013,87938
kulturella,2,2014,88106
kulturella,2,2015,88350
kulturella,2,2016,89491
kulturella,2,2017,89913
kulturella,2,2018,90237
kulturella,2,2019,95771
kulturella,2,2020,91436
kulturella,2,2021,94833
kulturella,2,2022,97342
kulturella,2,2023,
offentlig_forv,2,2000,
offentlig_forv,2,2001,
offentlig_forv,2,2002,
offentlig_forv,2,2003,
offentlig_forv,2,2004,
offentlig_forv,2,2005,
offentlig_forv,2,2006,
offentlig_forv,2,2007,
offentlig_forv,2,2008,105658
offentlig_forv,2,2009,105551
offentlig_forv,2,2010,107572
offentlig_forv,2,2011,110983
offentlig_forv,2,2012,111920
offentlig_forv,2,2013,115501
offentlig_forv,2,2014,116286
offentlig_forv,2,2015,116586
offentlig_forv,2,2016,120045
offentlig_forv,2,2017,123653
offentlig_forv,2,2018,128121
offentlig_forv,2,2019,125382
offentlig_forv,2,2020,131181
offentlig_forv,2,2021,133006
offentlig_forv,2,2022,135305
offentlig_forv,2,2023,
bransch_ospe,2,2000,
bransch_ospe,2,2001,
bransch_ospe,2,2002,
bransch_ospe,2,2003,
bransch_ospe,2,2004,
bransch_ospe,2,2005,
bransch_ospe,2,2006,
bransch_ospe,2,2007,
bransch_ospe,2,2008,22174
bransch_ospe,2,2009,20180
bransch_ospe,2,2010,19969
bransch_ospe,2,2011,21536
bransch_ospe,2,2012,21959
bransch_ospe,2,2013,21631
bransch_ospe,2,2014,22239
bransch_ospe,2,2015,21757
bransch_ospe,2,2016,20084
bransch_ospe,2,2017,21751
bransch_ospe,2,2018,21249
bransch_ospe,2,2019,25745
bransch_ospe,2,2020,33354
bransch_ospe,2,2021,32634
bransch_ospe,2,2022,32487
bransch_ospe,2,2023,
tillverkning_utv,2,2000,
tillverkning_utv,2,2001,
tillverkning_utv,2,2002,
tillverkning_utv,2,2003,
tillverkning_utv,2,2004,
tillverkning_utv,2,2005,
tillverkning_utv,2,2006,
tillverkning_utv,2,2007,
tillverkning_utv,2,2008,504905
tillverkning_utv,2,2009,452748
tillverkning_utv,2,2010,453026
tillverkning_utv,2,2011,459732
tillverkning_utv,2,2012,449212
tillverkning_utv,2,2013,436776
tillverkning_utv,2,2014,430015
tillverkning_utv,2,2015,427386
tillverkning_utv,2,2016,418060
tillverkning_utv,2,2017,420334
tillverkning_utv,2,2018,425271
tillverkning_utv,2,2019,414160
tillverkning_utv,2,2020,406134
tillverkning_utv,2,2021,412154
tillverkning_utv,2,2022,418257
tillverkning_utv,2,2023,
total_au,2,2000,
total_au,2,2001,
total_au,2,2002,
total_au,2,2003,
total_au,2,2004,
total_au,2,2005,
total_au,2,2006,
total_au,2,2007,
total_au,2,2008,547140
total_au,2,2009,540226
total_au,2,2010,557222
total_au,2,2011,575632
total_au,2,2012,589328
total_au,2,2013,599452
total_au,2,2014,608918
total_au,2,2015,621532
total_au,2,2016,635275
total_au,2,2017,649924
total_au,2,2018,658597
total_au,2,2019,664535
total_au,2,2020,658984
total_au,2,2021,680093
total_au,2,2022,701663
total_au,2,2023,
totalt_tota,2,2000,
totalt_tota,2,2001,
totalt_tota,2,2002,
totalt_tota,2,2003,
totalt_tota,2,2004,
totalt_tota,2,2005,
totalt_tota,2,2006,
totalt_tota,2,2007,
totalt_tota,2,2008,1753264
totalt_tota,2,2009,1681496
totalt_tota,2,2010,1721533
totalt_tota,2,2011,1781965
totalt_tota,2,2012,1789611
totalt_tota,2,2013,1800041
totalt_tota,2,2014,1808048
totalt_tota,2,2015,1833253
totalt_tota,2,2016,1870153
totalt_tota,2,2017,1908839
totalt_tota,2,2018,1935949
totalt_tota,2,2019,1949165
totalt_tota,2,2020,1933250
totalt_tota,2,2021,1979820
totalt_tota,2,2022,2018536
totalt_tota,2,2023,
transport_mag,2,2000,
transport_mag,2,2001,
transport_mag,2,2002,
transport_mag,2,2003,
transport_mag,2,2004,
