sni_id,lan,year,ant_kon
bransch_ospe,4,2023,16
jord_skog,5,2009,NA
jord_skog,5,2010,5
jord_skog,5,2011,6
jord_skog,5,2012,6
jord_skog,5,2013,3
jord_skog,5,2014,7
jord_skog,5,2015,4
jord_skog,5,2016,4
jord_skog,5,2017,NA
jord_skog,5,2018,8
jord_skog,5,2019,4
jord_skog,5,2020,NA
jord_skog,5,2021,3
jord_skog,5,2022,NA
jord_skog,5,2023,3
tillverkning,5,2009,43
tillverkning,5,2010,23
tillverkning,5,2011,22
tillverkning,5,2012,17
tillverkning,5,2013,25
tillverkning,5,2014,13
tillverkning,5,2015,11
tillverkning,5,2016,12
tillverkning,5,2017,15
tillverkning,5,2018,14
tillverkning,5,2019,15
tillverkning,5,2020,19
tillverkning,5,2021,13
tillverkning,5,2022,9
tillverkning,5,2023,14
bygg,5,2009,21
bygg,5,2010,35
bygg,5,2011,23
bygg,5,2012,30
bygg,5,2013,29
bygg,5,2014,25
bygg,5,2015,20
bygg,5,2016,23
bygg,5,2017,17
bygg,5,2018,22
bygg,5,2019,24
bygg,5,2020,29
bygg,5,2021,27
bygg,5,2022,17
bygg,5,2023,32
handel_med,5,2009,8
handel_med,5,2010,13
handel_med,5,2011,9
handel_med,5,2012,5
handel_med,5,2013,12
handel_med,5,2014,11
handel_med,5,2015,8
handel_med,5,2016,9
handel_med,5,2017,13
handel_med,5,2018,10
handel_med,5,2019,16
handel_med,5,2020,8
handel_med,5,2021,10
handel_med,5,2022,12
handel_med,5,2023,16
parti_prov,5,2009,18
parti_prov,5,2010,23
parti_prov,5,2011,14
parti_prov,5,2012,14
parti_prov,5,2013,13
parti_prov,5,2014,21
parti_prov,5,2015,15
parti_prov,5,2016,12
parti_prov,5,2017,14
parti_prov,5,2018,13
parti_prov,5,2019,11
parti_prov,5,2020,17
parti_prov,5,2021,16
parti_prov,5,2022,15
parti_prov,5,2023,16
detaljhandel_ut_mot,5,2009,36
detaljhandel_ut_mot,5,2010,24
detaljhandel_ut_mot,5,2011,32
detaljhandel_ut_mot,5,2012,34
detaljhandel_ut_mot,5,2013,38
detaljhandel_ut_mot,5,2014,28
detaljhandel_ut_mot,5,2015,31
detaljhandel_ut_mot,5,2016,21
detaljhandel_ut_mot,5,2017,23
detaljhandel_ut_mot,5,2018,29
detaljhandel_ut_mot,5,2019,29
detaljhandel_ut_mot,5,2020,18
detaljhandel_ut_mot,5,2021,18
detaljhandel_ut_mot,5,2022,25
detaljhandel_ut_mot,5,2023,31
transport_mag,5,2009,14
transport_mag,5,2010,20
transport_mag,5,2011,9
transport_mag,5,2012,9
transport_mag,5,2013,21
transport_mag,5,2014,13
transport_mag,5,2015,6
transport_mag,5,2016,4
transport_mag,5,2017,9
transport_mag,5,2018,9
transport_mag,5,2019,8
transport_mag,5,2020,14
transport_mag,5,2021,7
transport_mag,5,2022,12
transport_mag,5,2023,11
hotell_logi,5,2009,3
