sni_id,gender,year,forv_to
forlag,1,2015,33
forlag,1,2016,27
forlag,1,2017,22
forlag,1,2018,17
forlag,1,2019,21
forlag,1,2020,18
forlag,1,2021,24
forlag,1,2022,
forlag,1,2023,
grafisk,1,2000,
grafisk,1,2001,
grafisk,1,2002,
grafisk,1,2003,4
grafisk,1,2004,5
grafisk,1,2005,6
grafisk,1,2006,
grafisk,1,2007,
grafisk,1,2008,
grafisk,1,2009,
grafisk,1,2010,
grafisk,1,2011,
grafisk,1,2012,
grafisk,1,2013,
grafisk,1,2014,
grafisk,1,2015,
grafisk,1,2016,
grafisk,1,2017,
grafisk,1,2018,
grafisk,1,2019,1
grafisk,1,2020,1
grafisk,1,2021,
grafisk,1,2022,
grafisk,1,2023,
gummi,1,2000,
gummi,1,2001,
gummi,1,2002,
gummi,1,2003,172
gummi,1,2004,175
gummi,1,2005,160
gummi,1,2006,154
gummi,1,2007,157
gummi,1,2008,131
gummi,1,2009,114
gummi,1,2010,132
gummi,1,2011,129
gummi,1,2012,127
gummi,1,2013,120
gummi,1,2014,126
gummi,1,2015,127
gummi,1,2016,122
gummi,1,2017,120
gummi,1,2018,113
gummi,1,2019,108
gummi,1,2020,109
gummi,1,2021,109
gummi,1,2022,
gummi,1,2023,
handel_med,1,2000,
handel_med,1,2001,
handel_med,1,2002,
handel_med,1,2003,28
handel_med,1,2004,24
handel_med,1,2005,22
handel_med,1,2006,20
handel_med,1,2007,21
handel_med,1,2008,11
handel_med,1,2009,12
handel_med,1,2010,16
handel_med,1,2011,16
handel_med,1,2012,21
handel_med,1,2013,22
handel_med,1,2014,22
handel_med,1,2015,24
handel_med,1,2016,28
handel_med,1,2017,31
handel_med,1,2018,31
handel_med,1,2019,30
handel_med,1,2020,20
handel_med,1,2021,22
handel_med,1,2022,
handel_med,1,2023,
hotell_rest_i,1,2000,
hotell_rest_i,1,2001,
hotell_rest_i,1,2002,
hotell_rest_i,1,2003,135
hotell_rest_i,1,2004,209
hotell_rest_i,1,2005,233
hotell_rest_i,1,2006,279
hotell_rest_i,1,2007,311
hotell_rest_i,1,2008,341
hotell_rest_i,1,2009,349
hotell_rest_i,1,2010,329
hotell_rest_i,1,2011,360
hotell_rest_i,1,2012,392
hotell_rest_i,1,2013,397
hotell_rest_i,1,2014,371
hotell_rest_i,1,2015,406
hotell_rest_i,1,2016,427
hotell_rest_i,1,2017,439
hotell_rest_i,1,2018,432
hotell_rest_i,1,2019,408
hotell_rest_i,1,2020,391
hotell_rest_i,1,2021,390
hotell_rest_i,1,2022,
hotell_rest_i,1,2023,
hushall,1,2000,
hushall,1,2001,
hushall,1,2002,
hushall,1,2003,
hushall,1,2004,
hushall,1,2005,
hushall,1,2006,
hushall,1,2007,
hushall,1,2008,326
hushall,1,2009,356
hushall,1,2010,308
hushall,1,2011,328
hushall,1,2012,348
hushall,1,2013,376
hushall,1,2014,397
hushall,1,2015,405
hushall,1,2016,394
hushall,1,2017,404
hushall,1,2018,401
hushall,1,2019,461
hushall,1,2020,465
hushall,1,2021,495
hushall,1,2022,
hushall,1,2023,
halso,1,2000,
halso,1,2001,
halso,1,2002,
halso,1,2003,1
halso,1,2004,1
halso,1,2005,5
halso,1,2006,2
halso,1,2007,5
halso,1,2008,5
halso,1,2009,7
halso,1,2010,6
halso,1,2011,6
halso,1,2012,6
halso,1,2013,4
halso,1,2014,1
halso,1,2015,1
halso,1,2016,
halso,1,2017,
halso,1,2018,
halso,1,2019,
halso,1,2020,
halso,1,2021,
halso,1,2022,
halso,1,2023,
icke_met_andra,1,2000,
icke_met_andra,1,2001,
icke_met_andra,1,2002,
icke_met_andra,1,2003,117
icke_met_andra,1,2004,112
icke_met_andra,1,2005,53
icke_met_andra,1,2006,120
icke_met_andra,1,2007,127
icke_met_andra,1,2008,124
icke_met_andra,1,2009,102
icke_met_andra,1,2010,102
icke_met_andra,1,2011,102
icke_met_andra,1,2012,101
icke_met_andra,1,2013,84
icke_met_andra,1,2014,88
icke_met_andra,1,2015,92
icke_met_andra,1,2016,93
icke_met_andra,1,2017,90
icke_met_andra,1,2018,102
icke_met_andra,1,2019,97
icke_met_andra,1,2020,102
icke_met_andra,1,2021,107
icke_met_andra,1,2022,
icke_met_andra,1,2023,
industri_for_met,1,2000,
industri_for_met,1,2001,
industri_for_met,1,2002,
industri_for_met,1,2003,81
industri_for_met,1,2004,83
industri_for_met,1,2005,74
industri_for_met,1,2006,83
industri_for_met,1,2007,82
industri_for_met,1,2008,82
industri_for_met,1,2009,81
industri_for_met,1,2010,73
industri_for_met,1,2011,75
industri_for_met,1,2012,78
industri_for_met,1,2013,90
industri_for_met,1,2014,80
industri_for_met,1,2015,75
industri_for_met,1,2016,68
industri_for_met,1,2017,68
industri_for_met,1,2018,70
industri_for_met,1,2019,69
industri_for_met,1,2020,69
industri_for_met,1,2021,71
industri_for_met,1,2022,
industri_for_met,1,2023,
industri_for_mot,1,2000,
industri_for_mot,1,2001,
industri_for_mot,1,2002,
industri_for_mot,1,2003,46
industri_for_mot,1,2004,43
industri_for_mot,1,2005,41
industri_for_mot,1,2006,44
industri_for_mot,1,2007,47
industri_for_mot,1,2008,45
industri_for_mot,1,2009,43
industri_for_mot,1,2010,39
industri_for_mot,1,2011,42
industri_for_mot,1,2012,62
industri_for_mot,1,2013,109
industri_for_mot,1,2014,133
industri_for_mot,1,2015,119
industri_for_mot,1,2016,52
industri_for_mot,1,2017,62
industri_for_mot,1,2018,58
industri_for_mot,1,2019,60
industri_for_mot,1,2020,51
industri_for_mot,1,2021,55
industri_for_mot,1,2022,
industri_for_mot,1,2023,
industri_for_tra,1,2000,
industri_for_tra,1,2001,
industri_for_tra,1,2002,
industri_for_tra,1,2003,172
industri_for_tra,1,2004,174
industri_for_tra,1,2005,118
industri_for_tra,1,2006,212
industri_for_tra,1,2007,226
industri_for_tra,1,2008,240
industri_for_tra,1,2009,217
industri_for_tra,1,2010,219
industri_for_tra,1,2011,223
industri_for_tra,1,2012,200
industri_for_tra,1,2013,208
industri_for_tra,1,2014,202
industri_for_tra,1,2015,197
industri_for_tra,1,2016,198
industri_for_tra,1,2017,200
industri_for_tra,1,2018,214
industri_for_tra,1,2019,232
industri_for_tra,1,2020,238
industri_for_tra,1,2021,240
industri_for_tra,1,2022,
industri_for_tra,1,2023,
jordbruksforetag_serv,1,2000,
jordbruksforetag_serv,1,2001,
jordbruksforetag_serv,1,2002,
jordbruksforetag_serv,1,2003,265
jordbruksforetag_serv,1,2004,217
jordbruksforetag_serv,1,2005,223
