sni_id,lan,year,ant_ans_kon
restaurang_cate,4,2009,40
restaurang_cate,4,2010,84
restaurang_cate,4,2011,74
restaurang_cate,4,2012,58
restaurang_cate,4,2013,27
restaurang_cate,4,2014,68
restaurang_cate,4,2015,26
restaurang_cate,4,2016,31
restaurang_cate,4,2017,65
restaurang_cate,4,2018,109
restaurang_cate,4,2019,75
restaurang_cate,4,2020,84
restaurang_cate,4,2021,12
restaurang_cate,4,2022,39
restaurang_cate,4,2023,106
information_komm,4,2009,113
information_komm,4,2010,15
information_komm,4,2011,24
information_komm,4,2012,21
information_komm,4,2013,4
information_komm,4,2014,2
information_komm,4,2015,12
information_komm,4,2016,42
information_komm,4,2017,4
information_komm,4,2018,13
information_komm,4,2019,155
information_komm,4,2020,28
information_komm,4,2021,1
information_komm,4,2022,1
information_komm,4,2023,2
finans_fast,4,2009,185
finans_fast,4,2010,68
finans_fast,4,2011,75
finans_fast,4,2012,65
finans_fast,4,2013,206
finans_fast,4,2014,207
finans_fast,4,2015,92
finans_fast,4,2016,46
finans_fast,4,2017,86
finans_fast,4,2018,158
finans_fast,4,2019,90
finans_fast,4,2020,76
finans_fast,4,2021,7
finans_fast,4,2022,75
finans_fast,4,2023,66
utbildning_halso,4,2009,37
utbildning_halso,4,2010,28
utbildning_halso,4,2011,79
utbildning_halso,4,2012,50
utbildning_halso,4,2013,92
utbildning_halso,4,2014,87
utbildning_halso,4,2015,22
utbildning_halso,4,2016,30
utbildning_halso,4,2017,20
utbildning_halso,4,2018,32
utbildning_halso,4,2019,232
utbildning_halso,4,2020,26
utbildning_halso,4,2021,11
utbildning_halso,4,2022,109
utbildning_halso,4,2023,143
bransch_ospe,4,2009,0
bransch_ospe,4,2010,0
bransch_ospe,4,2011,0
bransch_ospe,4,2012,0
bransch_ospe,4,2013,0
bransch_ospe,4,2014,0
bransch_ospe,4,2015,0
bransch_ospe,4,2016,0
bransch_ospe,4,2017,0
bransch_ospe,4,2018,0
bransch_ospe,4,2019,0
bransch_ospe,4,2020,0
bransch_ospe,4,2021,0
bransch_ospe,4,2022,0
bransch_ospe,4,2023,0
jord_skog,5,2009,NA
jord_skog,5,2010,7
jord_skog,5,2011,18
jord_skog,5,2012,1
jord_skog,5,2013,2
jord_skog,5,2014,1
jord_skog,5,2015,0
jord_skog,5,2016,3
jord_skog,5,2017,NA
jord_skog,5,2018,1
jord_skog,5,2019,0
jord_skog,5,2020,NA
jord_skog,5,2021,0
jord_skog,5,2022,NA
jord_skog,5,2023,0
tillverkning,5,2009,510
tillverkning,5,2010,124
tillverkning,5,2011,82
tillverkning,5,2012,127
tillverkning,5,2013,82
tillverkning,5,2014,26
tillverkning,5,2015,35
tillverkning,5,2016,107
tillverkning,5,2017,50
tillverkning,5,2018,16
tillverkning,5,2019,59
tillverkning,5,2020,83
tillverkning,5,2021,146
tillverkning,5,2022,39
tillverkning,5,2023,142
bygg,5,2009,48
bygg,5,2010,70
bygg,5,2011,60
bygg,5,2012,85
bygg,5,2013,55
bygg,5,2014,56
bygg,5,2015,31
bygg,5,2016,74
bygg,5,2017,39
bygg,5,2018,54
bygg,5,2019,98
bygg,5,2020,53
bygg,5,2021,64
bygg,5,2022,27
bygg,5,2023,127
handel_med,5,2009,45
handel_med,5,2010,10
handel_med,5,2011,12
handel_med,5,2012,15
handel_med,5,2013,9
handel_med,5,2014,17
handel_med,5,2015,15
handel_med,5,2016,6
handel_med,5,2017,13
handel_med,5,2018,8
handel_med,5,2019,9
handel_med,5,2020,8
handel_med,5,2021,16
handel_med,5,2022,2
handel_med,5,2023,38
parti_prov,5,2009,40
parti_prov,5,2010,34
parti_prov,5,2011,7
parti_prov,5,2012,31
parti_prov,5,2013,45
parti_prov,5,2014,50
parti_prov,5,2015,39
parti_prov,5,2016,9
parti_prov,5,2017,15
parti_prov,5,2018,16
parti_prov,5,2019,65
parti_prov,5,2020,42
parti_prov,5,2021,19
parti_prov,5,2022,42
parti_prov,5,2023,24
detaljhandel_ut_mot,5,2009,92
detaljhandel_ut_mot,5,2010,50
detaljhandel_ut_mot,5,2011,67
detaljhandel_ut_mot,5,2012,116
detaljhandel_ut_mot,5,2013,66
detaljhandel_ut_mot,5,2014,68
detaljhandel_ut_mot,5,2015,51
detaljhandel_ut_mot,5,2016,26
detaljhandel_ut_mot,5,2017,64
detaljhandel_ut_mot,5,2018,95
detaljhandel_ut_mot,5,2019,53
detaljhandel_ut_mot,5,2020,32
detaljhandel_ut_mot,5,2021,10
detaljhandel_ut_mot,5,2022,31
detaljhandel_ut_mot,5,2023,23
transport_mag,5,2009,94
transport_mag,5,2010,128
transport_mag,5,2011,17
transport_mag,5,2012,61
transport_mag,5,2013,88
transport_mag,5,2014,51
transport_mag,5,2015,30
transport_mag,5,2016,1
transport_mag,5,2017,32
transport_mag,5,2018,47
transport_mag,5,2019,26
transport_mag,5,2020,34
transport_mag,5,2021,38
transport_mag,5,2022,32
transport_mag,5,2023,30
hotell_logi,5,2009,19
hotell_logi,5,2010,NA
hotell_logi,5,2011,NA
hotell_logi,5,2012,NA
hotell_logi,5,2013,NA
hotell_logi,5,2014,NA
hotell_logi,5,2015,NA
hotell_logi,5,2016,NA
hotell_logi,5,2017,NA
hotell_logi,5,2018,NA
hotell_logi,5,2019,11
hotell_logi,5,2020,25
hotell_logi,5,2021,78
hotell_logi,5,2022,NA
hotell_logi,5,2023,NA
restaurang_cate,5,2009,47
restaurang_cate,5,2010,64
restaurang_cate,5,2011,50
restaurang_cate,5,2012,12
restaurang_cate,5,2013,21
restaurang_cate,5,2014,13
restaurang_cate,5,2015,13
restaurang_cate,5,2016,17
restaurang_cate,5,2017,33
restaurang_cate,5,2018,30
restaurang_cate,5,2019,24
restaurang_cate,5,2020,67
restaurang_cate,5,2021,16
restaurang_cate,5,2022,71
restaurang_cate,5,2023,43
information_komm,5,2009,2
information_komm,5,2010,31
information_komm,5,2011,14
information_komm,5,2012,NA
information_komm,5,2013,4
information_komm,5,2014,0
information_komm,5,2015,3
information_komm,5,2016,3
information_komm,5,2017,8
information_komm,5,2018,NA
information_komm,5,2019,8
information_komm,5,2020,5
information_komm,5,2021,2
information_komm,5,2022,0
information_komm,5,2023,12
finans_fast,5,2009,150
finans_fast,5,2010,60
finans_fast,5,2011,71
finans_fast,5,2012,40
finans_fast,5,2013,200
finans_fast,5,2014,31
finans_fast,5,2015,49
finans_fast,5,2016,61
finans_fast,5,2017,63
finans_fast,5,2018,21
finans_fast,5,2019,23
finans_fast,5,2020,238
finans_fast,5,2021,26
finans_fast,5,2022,20
finans_fast,5,2023,22
utbildning_halso,5,2009,49
utbildning_halso,5,2010,39
utbildning_halso,5,2011,22
utbildning_halso,5,2012,21
utbildning_halso,5,2013,781
utbildning_halso,5,2014,59
utbildning_halso,5,2015,10
utbildning_halso,5,2016,32
utbildning_halso,5,2017,22
utbildning_halso,5,2018,11
utbildning_halso,5,2019,5
utbildning_halso,5,2020,22
utbildning_halso,5,2021,11
