sni_id,year,kem_skatt
offentlig_sekt,2020,10
offentlig_sekt,2021,11
offentlig_sekt,2022,10
offentlig_sekt,2023,
hushall,2007,
hushall,2008,0
hushall,2009,0
hushall,2010,0
hushall,2011,0
hushall,2012,0
hushall,2013,0
hushall,2014,0
hushall,2015,0
hushall,2016,0
hushall,2017,5
hushall,2018,11
hushall,2019,9
hushall,2020,8
hushall,2021,8
hushall,2022,8
hushall,2023,
privat_kons,2007,
privat_kons,2008,0
privat_kons,2009,0
privat_kons,2010,0
privat_kons,2011,0
privat_kons,2012,0
privat_kons,2013,0
privat_kons,2014,0
privat_kons,2015,0
privat_kons,2016,0
privat_kons,2017,534
privat_kons,2018,1032
privat_kons,2019,1118
privat_kons,2020,1270
privat_kons,2021,1356
privat_kons,2022,1229
privat_kons,2023,
bransch_ospe,2007,
bransch_ospe,2008,0
bransch_ospe,2009,0
bransch_ospe,2010,0
bransch_ospe,2011,0
bransch_ospe,2012,0
bransch_ospe,2013,0
bransch_ospe,2014,0
bransch_ospe,2015,0
bransch_ospe,2016,0
bransch_ospe,2017,0
bransch_ospe,2018,0
bransch_ospe,2019,0
bransch_ospe,2020,0
bransch_ospe,2021,0
bransch_ospe,2022,0
bransch_ospe,2023,
