sni_id,year,forbr_bio
hotell_rest_i,2011,150423
hotell_rest_i,2012,162916
hotell_rest_i,2013,161102
hotell_rest_i,2014,154474
hotell_rest_i,2015,156605
hotell_rest_i,2016,165099
hotell_rest_i,2017,167245
hotell_rest_i,2018,165767
hotell_rest_i,2019,170689
hotell_rest_i,2020,152801
hotell_rest_i,2021,183398
hotell_rest_i,2022,175101
hotell_rest_i,2023,172010
forlag,2008,263
forlag,2009,281
forlag,2010,34
forlag,2011,199
forlag,2012,138
forlag,2013,120
forlag,2014,146
forlag,2015,181
forlag,2016,285
forlag,2017,284
forlag,2018,305
forlag,2019,296
forlag,2020,327
forlag,2021,361
forlag,2022,444
forlag,2023,404
film_vide_j,2008,536
film_vide_j,2009,457
film_vide_j,2010,492
film_vide_j,2011,355
film_vide_j,2012,438
film_vide_j,2013,441
film_vide_j,2014,659
film_vide_j,2015,449
film_vide_j,2016,599
film_vide_j,2017,493
film_vide_j,2018,527
film_vide_j,2019,509
film_vide_j,2020,483
film_vide_j,2021,527
film_vide_j,2022,538
film_vide_j,2023,422
telekommunikation_j,2008,22
telekommunikation_j,2009,21
telekommunikation_j,2010,18
telekommunikation_j,2011,17
telekommunikation_j,2012,16
telekommunikation_j,2013,31
telekommunikation_j,2014,40
telekommunikation_j,2015,50
telekommunikation_j,2016,55
telekommunikation_j,2017,62
telekommunikation_j,2018,77
telekommunikation_j,2019,76
telekommunikation_j,2020,64
telekommunikation_j,2021,64
telekommunikation_j,2022,75
telekommunikation_j,2023,70
dataprogrammering_data,2008,403
dataprogrammering_data,2009,631
dataprogrammering_data,2010,112
dataprogrammering_data,2011,65
dataprogrammering_data,2012,94
dataprogrammering_data,2013,144
dataprogrammering_data,2014,180
dataprogrammering_data,2015,256
dataprogrammering_data,2016,386
dataprogrammering_data,2017,299
dataprogrammering_data,2018,328
dataprogrammering_data,2019,284
dataprogrammering_data,2020,338
dataprogrammering_data,2021,537
dataprogrammering_data,2022,646
dataprogrammering_data,2023,653
banker,2008,63
banker,2009,129
banker,2010,528
banker,2011,158
banker,2012,149
banker,2013,147
banker,2014,206
banker,2015,304
banker,2016,344
banker,2017,352
banker,2018,444
banker,2019,458
banker,2020,474
banker,2021,547
banker,2022,1604
banker,2023,1502
forsakrings,2008,8
forsakrings,2009,10
forsakrings,2010,10
forsakrings,2011,11
forsakrings,2012,17
forsakrings,2013,26
forsakrings,2014,37
forsakrings,2015,48
forsakrings,2016,65
forsakrings,2017,104
forsakrings,2018,78
forsakrings,2019,87
forsakrings,2020,81
