sni_id,year,syss_bel_tot
forlagsverksamhet_film,2020,53449
forlagsverksamhet_film,2021,57158
forlagsverksamhet_film,2022,59783
forlagsverksamhet_film,2023,60212
telekommunikation_j,2007,
telekommunikation_j,2008,23758
telekommunikation_j,2009,22712
telekommunikation_j,2010,20466
telekommunikation_j,2011,20494
telekommunikation_j,2012,21451
telekommunikation_j,2013,21649
telekommunikation_j,2014,21678
telekommunikation_j,2015,21725
telekommunikation_j,2016,22051
telekommunikation_j,2017,22064
telekommunikation_j,2018,21456
telekommunikation_j,2019,20816
telekommunikation_j,2020,20058
telekommunikation_j,2021,19698
telekommunikation_j,2022,19824
telekommunikation_j,2023,20100
dataprogrammering_data,2007,
dataprogrammering_data,2008,91317
dataprogrammering_data,2009,90235
dataprogrammering_data,2010,93261
dataprogrammering_data,2011,99910
dataprogrammering_data,2012,101366
dataprogrammering_data,2013,103076
dataprogrammering_data,2014,105670
dataprogrammering_data,2015,107033
dataprogrammering_data,2016,125412
dataprogrammering_data,2017,130173
dataprogrammering_data,2018,136689
dataprogrammering_data,2019,144235
dataprogrammering_data,2020,145958
dataprogrammering_data,2021,155239
dataprogrammering_data,2022,166044
dataprogrammering_data,2023,169700
banker,2007,
banker,2008,56090
banker,2009,54688
banker,2010,55274
banker,2011,54931
banker,2012,54476
banker,2013,54964
banker,2014,55040
banker,2015,55199
banker,2016,55321
banker,2017,56358
banker,2018,56707
banker,2019,56947
banker,2020,58581
banker,2021,60716
banker,2022,62801
banker,2023,65325
forsakrings,2007,
forsakrings,2008,20715
forsakrings,2009,20276
forsakrings,2010,20991
forsakrings,2011,20948
forsakrings,2012,21000
forsakrings,2013,21218
forsakrings,2014,21503
forsakrings,2015,21386
forsakrings,2016,21636
forsakrings,2017,21750
forsakrings,2018,22335
forsakrings,2019,22046
forsakrings,2020,22575
forsakrings,2021,22489
forsakrings,2022,24182
forsakrings,2023,24839
serviceforetag_fin,2007,
serviceforetag_fin,2008,14330
serviceforetag_fin,2009,13923
serviceforetag_fin,2010,13524
serviceforetag_fin,2011,14189
serviceforetag_fin,2012,14872
serviceforetag_fin,2013,14846
serviceforetag_fin,2014,15147
serviceforetag_fin,2015,16015
serviceforetag_fin,2016,16577
serviceforetag_fin,2017,16981
serviceforetag_fin,2018,17096
serviceforetag_fin,2019,17053
serviceforetag_fin,2020,17343
serviceforetag_fin,2021,17834
serviceforetag_fin,2022,19355
serviceforetag_fin,2023,19488
fastighetsbolag_g,2007,
fastighetsbolag_g,2008,65950
fastighetsbolag_g,2009,66512
fastighetsbolag_g,2010,67193
fastighetsbolag_g,2011,69156
fastighetsbolag_g,2012,70549
fastighetsbolag_g,2013,73838
fastighetsbolag_g,2014,74325
fastighetsbolag_g,2015,76821
fastighetsbolag_g,2016,78662
fastighetsbolag_g,2017,80130
fastighetsbolag_g,2018,81529
fastighetsbolag_g,2019,86303
fastighetsbolag_g,2020,87519
fastighetsbolag_g,2021,88633
fastighetsbolag_g,2022,89131
fastighetsbolag_g,2023,88729
juridiska_ek_byr,2007,
juridiska_ek_byr,2008,40576
juridiska_ek_byr,2009,41185
juridiska_ek_byr,2010,41954
juridiska_ek_byr,2011,44358
juridiska_ek_byr,2012,45710
juridiska_ek_byr,2013,46290
juridiska_ek_byr,2014,47261
juridiska_ek_byr,2015,47905
juridiska_ek_byr,2016,49157
juridiska_ek_byr,2017,50824
juridiska_ek_byr,2018,52122
juridiska_ek_byr,2019,56506
juridiska_ek_byr,2020,53336
juridiska_ek_byr,2021,54565
juridiska_ek_byr,2022,56321
juridiska_ek_byr,2023,58360
huvudkontor_kons,2007,
huvudkontor_kons,2008,44111
huvudkontor_kons,2009,45434
huvudkontor_kons,2010,48701
huvudkontor_kons,2011,53499
huvudkontor_kons,2012,55614
huvudkontor_kons,2013,57651
huvudkontor_kons,2014,59026
huvudkontor_kons,2015,62042
huvudkontor_kons,2016,63748
huvudkontor_kons,2017,67371
huvudkontor_kons,2018,69637
huvudkontor_kons,2019,67342
huvudkontor_kons,2020,67511
huvudkontor_kons,2021,71507
huvudkontor_kons,2022,73800
huvudkontor_kons,2023,79244
arkitekt,2007,
arkitekt,2008,77369
arkitekt,2009,76803
arkitekt,2010,81943
arkitekt,2011,86403
arkitekt,2012,90442
arkitekt,2013,91996
arkitekt,2014,94131
arkitekt,2015,97433
arkitekt,2016,101129
arkitekt,2017,105700
arkitekt,2018,110856
arkitekt,2019,112483
arkitekt,2020,110318
arkitekt,2021,114829
arkitekt,2022,120809
arkitekt,2023,121531
forsknings,2007,
forsknings,2008,28796
