sni_id,year,kem_anv_tonne_msek
andra_tran,2007,
andra_tran,2008,
andra_tran,2009,
andra_tran,2010,
andra_tran,2011,
andra_tran,2012,
andra_tran,2013,
andra_tran,2014,
andra_tran,2015,3.73851563567305
andra_tran,2016,3.21724998882129
andra_tran,2017,2.75923554916068
andra_tran,2018,3.7300001238049
andra_tran,2019,3.24686539523673
andra_tran,2020,
andra_tran,2021,
andra_tran,2022,
andra_tran,2023,
tillverkning_mob,2000,
tillverkning_mob,2001,
tillverkning_mob,2002,
tillverkning_mob,2003,
tillverkning_mob,2004,
tillverkning_mob,2005,
tillverkning_mob,2006,
tillverkning_mob,2007,
tillverkning_mob,2008,
tillverkning_mob,2009,
tillverkning_mob,2010,
tillverkning_mob,2011,
tillverkning_mob,2012,
tillverkning_mob,2013,
tillverkning_mob,2014,
tillverkning_mob,2015,5.99303766198929
tillverkning_mob,2016,6.05976283889379
tillverkning_mob,2017,5.48944948720167
tillverkning_mob,2018,5.10564173519063
tillverkning_mob,2019,4.78802272421861
tillverkning_mob,2020,
tillverkning_mob,2021,
tillverkning_mob,2022,
tillverkning_mob,2023,
reparationsverkstader,2000,
reparationsverkstader,2001,
reparationsverkstader,2002,
reparationsverkstader,2003,
reparationsverkstader,2004,
reparationsverkstader,2005,
reparationsverkstader,2006,
reparationsverkstader,2007,
reparationsverkstader,2008,
reparationsverkstader,2009,
reparationsverkstader,2010,
reparationsverkstader,2011,
reparationsverkstader,2012,
reparationsverkstader,2013,
reparationsverkstader,2014,
reparationsverkstader,2015,3.98034454088821
reparationsverkstader,2016,4.13200888494194
reparationsverkstader,2017,3.7912487842409
reparationsverkstader,2018,3.79268180684852
reparationsverkstader,2019,3.64957280162895
reparationsverkstader,2020,
reparationsverkstader,2021,
reparationsverkstader,2022,
reparationsverkstader,2023,
el_gas,2000,
el_gas,2001,
el_gas,2002,
el_gas,2003,
el_gas,2004,
el_gas,2005,
el_gas,2006,
el_gas,2007,
el_gas,2008,
el_gas,2009,
el_gas,2010,
el_gas,2011,
el_gas,2012,
el_gas,2013,
el_gas,2014,
el_gas,2015,4.20891195556446
el_gas,2016,4.26363773807466
el_gas,2017,3.46204295729673
el_gas,2018,3.4862666219456
el_gas,2019,3.24956688723775
el_gas,2020,
el_gas,2021,
el_gas,2022,
el_gas,2023,
vattenforsorjning_avlo,2000,
vattenforsorjning_avlo,2001,
vattenforsorjning_avlo,2002,
vattenforsorjning_avlo,2003,
vattenforsorjning_avlo,2004,
vattenforsorjning_avlo,2005,
vattenforsorjning_avlo,2006,
vattenforsorjning_avlo,2007,
vattenforsorjning_avlo,2008,
vattenforsorjning_avlo,2009,
vattenforsorjning_avlo,2010,
vattenforsorjning_avlo,2011,
vattenforsorjning_avlo,2012,
vattenforsorjning_avlo,2013,
vattenforsorjning_avlo,2014,
vattenforsorjning_avlo,2015,4.80111016274325
vattenforsorjning_avlo,2016,5.82207882817025
vattenforsorjning_avlo,2017,5.64525973045884
vattenforsorjning_avlo,2018,5.80700932420107
vattenforsorjning_avlo,2019,6.26256081248666
vattenforsorjning_avlo,2020,
vattenforsorjning_avlo,2021,
vattenforsorjning_avlo,2022,
vattenforsorjning_avlo,2023,
bygg,2000,
bygg,2001,
bygg,2002,
bygg,2003,
bygg,2004,
bygg,2005,
bygg,2006,
bygg,2007,
bygg,2008,
bygg,2009,
bygg,2010,
bygg,2011,
bygg,2012,
bygg,2013,
bygg,2014,
bygg,2015,8.61082449843148
bygg,2016,8.99585730688978
bygg,2017,8.12911761965115
bygg,2018,8.10910869129401
bygg,2019,7.88407899086056
bygg,2020,
bygg,2021,
bygg,2022,
bygg,2023,
hand_g,2000,
hand_g,2001,
hand_g,2002,
hand_g,2003,
hand_g,2004,
hand_g,2005,
hand_g,2006,
hand_g,2007,
hand_g,2008,
hand_g,2009,
hand_g,2010,
hand_g,2011,
hand_g,2012,
hand_g,2013,
hand_g,2014,
hand_g,2015,2.28518445896625
hand_g,2016,2.28865841626497
hand_g,2017,1.97592482381044
hand_g,2018,2.09228038390708
hand_g,2019,1.97243672359518
hand_g,2020,
hand_g,2021,
hand_g,2022,
hand_g,2023,
landtransportforetag_rort,2000,
landtransportforetag_rort,2001,
landtransportforetag_rort,2002,
landtransportforetag_rort,2003,
landtransportforetag_rort,2004,
landtransportforetag_rort,2005,
landtransportforetag_rort,2006,
landtransportforetag_rort,2007,
landtransportforetag_rort,2008,
landtransportforetag_rort,2009,
landtransportforetag_rort,2010,
landtransportforetag_rort,2011,
landtransportforetag_rort,2012,
landtransportforetag_rort,2013,
landtransportforetag_rort,2014,
landtransportforetag_rort,2015,1.75611245846344
landtransportforetag_rort,2016,2.03282999856123
landtransportforetag_rort,2017,1.933623717036
landtransportforetag_rort,2018,2.18239712657761
landtransportforetag_rort,2019,1.86734039531128
landtransportforetag_rort,2020,
landtransportforetag_rort,2021,
landtransportforetag_rort,2022,
landtransportforetag_rort,2023,
rederier,2000,
rederier,2001,
rederier,2002,
rederier,2003,
rederier,2004,
rederier,2005,
rederier,2006,
rederier,2007,
rederier,2008,
rederier,2009,
rederier,2010,
rederier,2011,
rederier,2012,
rederier,2013,
rederier,2014,
rederier,2015,2.44145556560535
rederier,2016,2.74087680328354
rederier,2017,2.533814721888
rederier,2018,4.32444012854507
rederier,2019,2.27690305145908
rederier,2020,
rederier,2021,
rederier,2022,
rederier,2023,
flygbolag,2000,
flygbolag,2001,
flygbolag,2002,
flygbolag,2003,
flygbolag,2004,
flygbolag,2005,
flygbolag,2006,
flygbolag,2007,
flygbolag,2008,
flygbolag,2009,
flygbolag,2010,
flygbolag,2011,
flygbolag,2012,
flygbolag,2013,
flygbolag,2014,
flygbolag,2015,2.56039420903934
flygbolag,2016,3.6897175159355
flygbolag,2017,2.9369598783595
flygbolag,2018,3.81247260202357
flygbolag,2019,2.87088153120716
flygbolag,2020,
flygbolag,2021,
flygbolag,2022,
flygbolag,2023,
magasinering,2000,
magasinering,2001,
magasinering,2002,
magasinering,2003,
magasinering,2004,
magasinering,2005,
magasinering,2006,
magasinering,2007,
magasinering,2008,
magasinering,2009,
magasinering,2010,
magasinering,2011,
magasinering,2012,
magasinering,2013,
magasinering,2014,
magasinering,2015,1.56962647760603
magasinering,2016,1.59258157308911
magasinering,2017,1.42464342829332
magasinering,2018,1.49711597316448
magasinering,2019,1.31751467151743
magasinering,2020,
magasinering,2021,
magasinering,2022,
magasinering,2023,
hotell_rest_i,2000,
hotell_rest_i,2001,
hotell_rest_i,2002,
hotell_rest_i,2003,
hotell_rest_i,2004,
hotell_rest_i,2005,
hotell_rest_i,2006,
hotell_rest_i,2007,
hotell_rest_i,2008,
hotell_rest_i,2009,
hotell_rest_i,2010,
hotell_rest_i,2011,
hotell_rest_i,2012,
hotell_rest_i,2013,
hotell_rest_i,2014,
hotell_rest_i,2015,2.0465663953251
hotell_rest_i,2016,2.15409305465681
hotell_rest_i,2017,1.92383677419295
hotell_rest_i,2018,1.99001296841588
hotell_rest_i,2019,1.9058734813644
hotell_rest_i,2020,
hotell_rest_i,2021,
hotell_rest_i,2022,
hotell_rest_i,2023,
forlag,2000,
forlag,2001,
forlag,2002,
forlag,2003,
forlag,2004,
forlag,2005,
forlag,2006,
forlag,2007,
forlag,2008,
forlag,2009,
forlag,2010,
forlag,2011,
forlag,2012,
forlag,2013,
forlag,2014,
forlag,2015,1.00856102315123
forlag,2016,1.31622536005244
forlag,2017,1.06934291048289
forlag,2018,1.10732639227417
forlag,2019,0.99203338420814
forlag,2020,
forlag,2021,
forlag,2022,
forlag,2023,
film_vide_j,2000,
film_vide_j,2001,
film_vide_j,2002,
film_vide_j,2003,
film_vide_j,2004,
film_vide_j,2005,
film_vide_j,2006,
film_vide_j,2007,
film_vide_j,2008,
film_vide_j,2009,
film_vide_j,2010,
film_vide_j,2011,
film_vide_j,2012,
film_vide_j,2013,
film_vide_j,2014,
film_vide_j,2015,0.734196258985335
film_vide_j,2016,0.852964067443509
film_vide_j,2017,0.722180971433587
film_vide_j,2018,0.737683293841294
film_vide_j,2019,0.672850131076238
film_vide_j,2020,
film_vide_j,2021,
film_vide_j,2022,
film_vide_j,2023,
telekommunikation_j,2000,
telekommunikation_j,2001,
telekommunikation_j,2002,
telekommunikation_j,2003,
telekommunikation_j,2004,
telekommunikation_j,2005,
telekommunikation_j,2006,
telekommunikation_j,2007,
telekommunikation_j,2008,
telekommunikation_j,2009,
telekommunikation_j,2010,
telekommunikation_j,2011,
telekommunikation_j,2012,
telekommunikation_j,2013,
telekommunikation_j,2014,
telekommunikation_j,2015,0.93358949952963
telekommunikation_j,2016,1.00009294388893
telekommunikation_j,2017,0.85484113596914
telekommunikation_j,2018,0.874466350005243
telekommunikation_j,2019,0.84651034040818
telekommunikation_j,2020,
telekommunikation_j,2021,
telekommunikation_j,2022,
telekommunikation_j,2023,
dataprogrammering_data,2000,
dataprogrammering_data,2001,
dataprogrammering_data,2002,
dataprogrammering_data,2003,
dataprogrammering_data,2004,
dataprogrammering_data,2005,
dataprogrammering_data,2006,
dataprogrammering_data,2007,
dataprogrammering_data,2008,
dataprogrammering_data,2009,
dataprogrammering_data,2010,
dataprogrammering_data,2011,
