sni_id,year,ant_for_tjugo
detaljhandel_ut_mot,2011,849
detaljhandel_ut_mot,2012,888
detaljhandel_ut_mot,2013,857
detaljhandel_ut_mot,2014,887
detaljhandel_ut_mot,2015,880
detaljhandel_ut_mot,2016,882
detaljhandel_ut_mot,2017,926
detaljhandel_ut_mot,2018,1167
detaljhandel_ut_mot,2019,1227
detaljhandel_ut_mot,2020,1241
detaljhandel_ut_mot,2021,1236
detaljhandel_ut_mot,2022,
detaljhandel_ut_mot,2023,
drycker,2000,
drycker,2001,
drycker,2002,
drycker,2003,
drycker,2004,
drycker,2005,
drycker,2006,7
drycker,2007,8
drycker,2008,8
drycker,2009,8
drycker,2010,9
drycker,2011,6
drycker,2012,6
drycker,2013,6
drycker,2014,4
drycker,2015,4
drycker,2016,7
drycker,2017,8
drycker,2018,11
drycker,2019,14
drycker,2020,13
drycker,2021,16
drycker,2022,
drycker,2023,
el_gas,2000,
el_gas,2001,
el_gas,2002,
el_gas,2003,
el_gas,2004,
el_gas,2005,
el_gas,2006,89
el_gas,2007,87
el_gas,2008,80
el_gas,2009,85
el_gas,2010,87
el_gas,2011,82
el_gas,2012,77
el_gas,2013,80
el_gas,2014,86
el_gas,2015,81
el_gas,2016,85
el_gas,2017,86
el_gas,2018,81
el_gas,2019,85
el_gas,2020,81
el_gas,2021,85
el_gas,2022,
el_gas,2023,
halso,2000,
halso,2001,
halso,2002,
halso,2003,
halso,2004,
halso,2005,
halso,2006,138
halso,2007,145
halso,2008,141
halso,2009,148
halso,2010,164
halso,2011,164
halso,2012,164
halso,2013,172
halso,2014,191
halso,2015,195
halso,2016,204
halso,2017,224
halso,2018,262
halso,2019,308
halso,2020,321
halso,2021,324
halso,2022,
halso,2023,
enheter_for_konst,2000,
enheter_for_konst,2001,
enheter_for_konst,2002,
enheter_for_konst,2003,
enheter_for_konst,2004,
enheter_for_konst,2005,
enheter_for_konst,2006,32
enheter_for_konst,2007,33
enheter_for_konst,2008,31
enheter_for_konst,2009,33
enheter_for_konst,2010,38
enheter_for_konst,2011,34
enheter_for_konst,2012,40
enheter_for_konst,2013,40
enheter_for_konst,2014,36
enheter_for_konst,2015,36
enheter_for_konst,2016,35
enheter_for_konst,2017,36
enheter_for_konst,2018,34
enheter_for_konst,2019,45
enheter_for_konst,2020,51
enheter_for_konst,2021,59
enheter_for_konst,2022,
enheter_for_konst,2023,
fastighetsbolag_g,2000,
fastighetsbolag_g,2001,
fastighetsbolag_g,2002,
fastighetsbolag_g,2003,
fastighetsbolag_g,2004,
fastighetsbolag_g,2005,
fastighetsbolag_g,2006,224
fastighetsbolag_g,2007,223
fastighetsbolag_g,2008,234
fastighetsbolag_g,2009,250
fastighetsbolag_g,2010,258
fastighetsbolag_g,2011,264
fastighetsbolag_g,2012,258
fastighetsbolag_g,2013,276
fastighetsbolag_g,2014,280
fastighetsbolag_g,2015,315
fastighetsbolag_g,2016,306
fastighetsbolag_g,2017,317
fastighetsbolag_g,2018,341
fastighetsbolag_g,2019,327
fastighetsbolag_g,2020,353
fastighetsbolag_g,2021,341
fastighetsbolag_g,2022,
fastighetsbolag_g,2023,
film_vide,2000,
film_vide,2001,
film_vide,2002,
film_vide,2003,
film_vide,2004,
film_vide,2005,
film_vide,2006,55
film_vide,2007,53
film_vide,2008,44
film_vide,2009,43
film_vide,2010,50
film_vide,2011,44
film_vide,2012,50
film_vide,2013,52
film_vide,2014,43
film_vide,2015,47
film_vide,2016,42
film_vide,2017,50
film_vide,2018,36
film_vide,2019,46
film_vide,2020,45
film_vide,2021,49
film_vide,2022,
film_vide,2023,
fisk,2000,
fisk,2001,
fisk,2002,
fisk,2003,
fisk,2004,
fisk,2005,
fisk,2006,1
fisk,2007,1
fisk,2008,0
fisk,2009,3
fisk,2010,3
fisk,2011,4
fisk,2012,5
fisk,2013,5
fisk,2014,7
fisk,2015,6
fisk,2016,6
fisk,2017,7
fisk,2018,10
fisk,2019,9
fisk,2020,8
fisk,2021,6
fisk,2022,
fisk,2023,
flygbolag,2000,
flygbolag,2001,
flygbolag,2002,
flygbolag,2003,
flygbolag,2004,
flygbolag,2005,
flygbolag,2006,13
flygbolag,2007,14
flygbolag,2008,12
flygbolag,2009,11
flygbolag,2010,10
flygbolag,2011,11
flygbolag,2012,12
flygbolag,2013,9
flygbolag,2014,11
flygbolag,2015,9
flygbolag,2016,12
flygbolag,2017,13
flygbolag,2018,12
flygbolag,2019,14
flygbolag,2020,11
flygbolag,2021,14
flygbolag,2022,
flygbolag,2023,
forsknings,2000,
forsknings,2001,
forsknings,2002,
forsknings,2003,
forsknings,2004,
forsknings,2005,
forsknings,2006,66
forsknings,2007,64
forsknings,2008,80
forsknings,2009,76
forsknings,2010,66
forsknings,2011,69
forsknings,2012,73
forsknings,2013,75
forsknings,2014,75
forsknings,2015,71
forsknings,2016,78
forsknings,2017,75
forsknings,2018,79
forsknings,2019,83
forsknings,2020,93
forsknings,2021,97
forsknings,2022,
forsknings,2023,
foretag_for_bev,2000,
foretag_for_bev,2001,
foretag_for_bev,2002,
foretag_for_bev,2003,
foretag_for_bev,2004,
foretag_for_bev,2005,
foretag_for_bev,2006,27
foretag_for_bev,2007,26
foretag_for_bev,2008,31
foretag_for_bev,2009,33
foretag_for_bev,2010,32
foretag_for_bev,2011,35
foretag_for_bev,2012,35
foretag_for_bev,2013,37
foretag_for_bev,2014,39
foretag_for_bev,2015,47
foretag_for_bev,2016,37
foretag_for_bev,2017,43
foretag_for_bev,2018,54
foretag_for_bev,2019,64
foretag_for_bev,2020,76
foretag_for_bev,2021,87
foretag_for_bev,2022,
foretag_for_bev,2023,
foretag_for,2000,
foretag_for,2001,
foretag_for,2002,
foretag_for,2003,
foretag_for,2004,
foretag_for,2005,
foretag_for,2006,254
foretag_for,2007,270
foretag_for,2008,253
foretag_for,2009,285
foretag_for,2010,293
foretag_for,2011,288
foretag_for,2012,301
foretag_for,2013,317
foretag_for,2014,346
foretag_for,2015,348
foretag_for,2016,379
foretag_for,2017,381
foretag_for,2018,418
foretag_for,2019,445
foretag_for,2020,458
