sni_id,year,foradl
massa_papp,2004,690
massa_papp,2005,639
massa_papp,2006,770
massa_papp,2007,611
massa_papp,2008,667
massa_papp,2009,489
massa_papp,2010,469
massa_papp,2011,628
massa_papp,2012,497
massa_papp,2013,350
massa_papp,2014,317
massa_papp,2015,231
massa_papp,2016,315
massa_papp,2017,243
massa_papp,2018,382
massa_papp,2019,369
massa_papp,2020,243
massa_papp,2021,241
massa_papp,2022,
massa_papp,2023,
offentlig_sekt,2000,
offentlig_sekt,2001,
offentlig_sekt,2002,
offentlig_sekt,2003,2853
offentlig_sekt,2004,2975
offentlig_sekt,2005,3035
offentlig_sekt,2006,2309
offentlig_sekt,2007,2783
offentlig_sekt,2008,2531
offentlig_sekt,2009,2309
offentlig_sekt,2010,2482
offentlig_sekt,2011,2913
offentlig_sekt,2012,3011
offentlig_sekt,2013,3110
offentlig_sekt,2014,3281
offentlig_sekt,2015,3638
offentlig_sekt,2016,4111
offentlig_sekt,2017,4415
offentlig_sekt,2018,4801
offentlig_sekt,2019,4973
offentlig_sekt,2020,5099
offentlig_sekt,2021,5498
offentlig_sekt,2022,
offentlig_sekt,2023,
parti_prov,2000,
parti_prov,2001,
parti_prov,2002,
parti_prov,2003,1186
parti_prov,2004,1189
parti_prov,2005,1354
parti_prov,2006,1517
parti_prov,2007,1608
parti_prov,2008,1913
parti_prov,2009,1714
parti_prov,2010,1624
parti_prov,2011,1549
parti_prov,2012,1568
parti_prov,2013,1514
parti_prov,2014,1595
parti_prov,2015,1646
parti_prov,2016,1726
parti_prov,2017,1949
parti_prov,2018,1905
parti_prov,2019,2060
parti_prov,2020,2259
parti_prov,2021,2434
parti_prov,2022,
parti_prov,2023,
rederier,2000,
rederier,2001,
rederier,2002,
rederier,2003,1
rederier,2004,1
rederier,2005,1
rederier,2006,1
rederier,2007,1
rederier,2008,
rederier,2009,
rederier,2010,
rederier,2011,
rederier,2012,
rederier,2013,
rederier,2014,1
rederier,2015,1
rederier,2016,1
rederier,2017,1
rederier,2018,1
rederier,2019,
rederier,2020,
rederier,2021,
rederier,2022,
rederier,2023,
reklam_und,2000,
reklam_und,2001,
reklam_und,2002,
reklam_und,2003,98
reklam_und,2004,105
reklam_und,2005,121
reklam_und,2006,126
reklam_und,2007,181
reklam_und,2008,298
reklam_und,2009,414
reklam_und,2010,470
reklam_und,2011,429
reklam_und,2012,357
reklam_und,2013,358
reklam_und,2014,457
reklam_und,2015,440
reklam_und,2016,491
reklam_und,2017,480
reklam_und,2018,438
reklam_und,2019,510
reklam_und,2020,790
reklam_und,2021,1178
reklam_und,2022,
reklam_und,2023,
reparationsverkstader,2000,
reparationsverkstader,2001,
reparationsverkstader,2002,
reparationsverkstader,2003,470
reparationsverkstader,2004,298
reparationsverkstader,2005,514
reparationsverkstader,2006,422
reparationsverkstader,2007,500
reparationsverkstader,2008,603
reparationsverkstader,2009,426
reparationsverkstader,2010,820
reparationsverkstader,2011,888
reparationsverkstader,2012,650
reparationsverkstader,2013,604
reparationsverkstader,2014,595
reparationsverkstader,2015,530
reparationsverkstader,2016,393
reparationsverkstader,2017,404
reparationsverkstader,2018,230
reparationsverkstader,2019,283
reparationsverkstader,2020,195
reparationsverkstader,2021,312
reparationsverkstader,2022,
reparationsverkstader,2023,
skogsbruksforetag,2000,
skogsbruksforetag,2001,
skogsbruksforetag,2002,
skogsbruksforetag,2003,5954
skogsbruksforetag,2004,6686
skogsbruksforetag,2005,3450
skogsbruksforetag,2006,6014
skogsbruksforetag,2007,9940
skogsbruksforetag,2008,10651
skogsbruksforetag,2009,10574
skogsbruksforetag,2010,12491
skogsbruksforetag,2011,12208
skogsbruksforetag,2012,10893
skogsbruksforetag,2013,10490
skogsbruksforetag,2014,11560
skogsbruksforetag,2015,13791
skogsbruksforetag,2016,14891
skogsbruksforetag,2017,15566
skogsbruksforetag,2018,17242
skogsbruksforetag,2019,17742
skogsbruksforetag,2020,15830
skogsbruksforetag,2021,15612
skogsbruksforetag,2022,
skogsbruksforetag,2023,
metaller,2000,
metaller,2001,
metaller,2002,
metaller,2003,208
metaller,2004,221
metaller,2005,255
metaller,2006,239
metaller,2007,381
metaller,2008,350
metaller,2009,79
metaller,2010,369
metaller,2011,399
metaller,2012,493
metaller,2013,464
metaller,2014,580
metaller,2015,645
metaller,2016,552
metaller,2017,411
metaller,2018,537
metaller,2019,487
metaller,2020,541
metaller,2021,688
metaller,2022,
metaller,2023,
telekommunikation_j,2000,
telekommunikation_j,2001,
telekommunikation_j,2002,
telekommunikation_j,2003,0
telekommunikation_j,2004,0
telekommunikation_j,2005,
telekommunikation_j,2006,
telekommunikation_j,2007,
telekommunikation_j,2008,
telekommunikation_j,2009,
telekommunikation_j,2010,
telekommunikation_j,2011,
telekommunikation_j,2012,
telekommunikation_j,2013,
telekommunikation_j,2014,
telekommunikation_j,2015,
telekommunikation_j,2016,
telekommunikation_j,2017,
telekommunikation_j,2018,
telekommunikation_j,2019,
telekommunikation_j,2020,
telekommunikation_j,2021,
telekommunikation_j,2022,
telekommunikation_j,2023,
tillverkning_avd,2000,
tillverkning_avd,2001,
tillverkning_avd,2002,
tillverkning_avd,2003,3553
tillverkning_avd,2004,2642
tillverkning_avd,2005,2613
tillverkning_avd,2006,2993
tillverkning_avd,2007,3512
tillverkning_avd,2008,3837
tillverkning_avd,2009,2666
tillverkning_avd,2010,1263
tillverkning_avd,2011,1398
tillverkning_avd,2012,1493
tillverkning_avd,2013,1319
tillverkning_avd,2014,988
tillverkning_avd,2015,2513
tillverkning_avd,2016,2285
tillverkning_avd,2017,2200
tillverkning_avd,2018,2442
tillverkning_avd,2019,2125
tillverkning_avd,2020,1663
tillverkning_avd,2021,1995
tillverkning_avd,2022,
tillverkning_avd,2023,
tillverkning_mob,2000,
tillverkning_mob,2001,
tillverkning_mob,2002,
tillverkning_mob,2003,
tillverkning_mob,2004,
tillverkning_mob,2005,5
tillverkning_mob,2006,8
tillverkning_mob,2007,1
tillverkning_mob,2008,2
tillverkning_mob,2009,1
tillverkning_mob,2010,1
tillverkning_mob,2011,2
tillverkning_mob,2012,11
tillverkning_mob,2013,13
tillverkning_mob,2014,28
tillverkning_mob,2015,31
tillverkning_mob,2016,31
tillverkning_mob,2017,33
tillverkning_mob,2018,37
tillverkning_mob,2019,35
tillverkning_mob,2020,52
tillverkning_mob,2021,61
tillverkning_mob,2022,
tillverkning_mob,2023,
kemisk_indu,2000,
kemisk_indu,2001,
kemisk_indu,2002,
kemisk_indu,2003,768
kemisk_indu,2004,783
kemisk_indu,2005,841
kemisk_indu,2006,767
kemisk_indu,2007,705
kemisk_indu,2008,873
kemisk_indu,2009,761
kemisk_indu,2010,1087
kemisk_indu,2011,1126
kemisk_indu,2012,1211
kemisk_indu,2013,1352
kemisk_indu,2014,1477
kemisk_indu,2015,1291
kemisk_indu,2016,1399
kemisk_indu,2017,1752
kemisk_indu,2018,1150
kemisk_indu,2019,1526
kemisk_indu,2020,1678
kemisk_indu,2021,2172
kemisk_indu,2022,
kemisk_indu,2023,
textil_bekl,2000,
textil_bekl,2001,
textil_bekl,2002,
textil_bekl,2003,59
textil_bekl,2004,59
textil_bekl,2005,61
textil_bekl,2006,67
textil_bekl,2007,59
textil_bekl,2008,63
textil_bekl,2009,61
textil_bekl,2010,62
textil_bekl,2011,64
textil_bekl,2012,65
textil_bekl,2013,64
textil_bekl,2014,64
textil_bekl,2015,74
textil_bekl,2016,65
textil_bekl,2017,49
textil_bekl,2018,47
textil_bekl,2019,50
textil_bekl,2020,51
textil_bekl,2021,51
textil_bekl,2022,
textil_bekl,2023,
totalt_tota,2000,
totalt_tota,2001,
totalt_tota,2002,
totalt_tota,2003,68932
totalt_tota,2004,78208
totalt_tota,2005,80752
totalt_tota,2006,90058
totalt_tota,2007,105216
totalt_tota,2008,117428
totalt_tota,2009,111054
totalt_tota,2010,114463
totalt_tota,2011,133405
totalt_tota,2012,141337
totalt_tota,2013,134161
totalt_tota,2014,141381
totalt_tota,2015,148247
totalt_tota,2016,155105
totalt_tota,2017,169694
totalt_tota,2018,176805
totalt_tota,2019,199256
totalt_tota,2020,201462
totalt_tota,2021,224869
totalt_tota,2022,
totalt_tota,2023,
utbildning,2000,
utbildning,2001,
utbildning,2002,
utbildning,2003,42
utbildning,2004,66
utbildning,2005,73
utbildning,2006,78
utbildning,2007,84
utbildning,2008,79
utbildning,2009,80
utbildning,2010,85
utbildning,2011,76
utbildning,2012,131
utbildning,2013,122
utbildning,2014,124
utbildning,2015,146
utbildning,2016,142
utbildning,2017,150
utbildning,2018,116
utbildning,2019,136
utbildning,2020,155
utbildning,2021,159
utbildning,2022,
utbildning,2023,
uthyrningsfirmor,2000,
uthyrningsfirmor,2001,
uthyrningsfirmor,2002,
uthyrningsfirmor,2003,13
uthyrningsfirmor,2004,12
uthyrningsfirmor,2005,14
uthyrningsfirmor,2006,14
uthyrningsfirmor,2007,20
uthyrningsfirmor,2008,75
uthyrningsfirmor,2009,122
uthyrningsfirmor,2010,158
uthyrningsfirmor,2011,178
uthyrningsfirmor,2012,1248
uthyrningsfirmor,2013,250
uthyrningsfirmor,2014,260
uthyrningsfirmor,2015,289
uthyrningsfirmor,2016,338
uthyrningsfirmor,2017,314
uthyrningsfirmor,2018,333
uthyrningsfirmor,2019,391
uthyrningsfirmor,2020,425
uthyrningsfirmor,2021,444
uthyrningsfirmor,2022,
uthyrningsfirmor,2023,
utvinning_min,2000,
utvinning_min,2001,
utvinning_min,2002,
utvinning_min,2003,29
utvinning_min,2004,37
utvinning_min,2005,38
utvinning_min,2006,46
utvinning_min,2007,49
utvinning_min,2008,47
utvinning_min,2009,41
utvinning_min,2010,38
utvinning_min,2011,39
utvinning_min,2012,52
utvinning_min,2013,55
utvinning_min,2014,64
utvinning_min,2015,70
utvinning_min,2016,78
utvinning_min,2017,78
