sni_id,year,ant_for_hundra
flygbolag,2009,7
flygbolag,2010,5
flygbolag,2011,2
flygbolag,2012,2
flygbolag,2013,3
flygbolag,2014,4
flygbolag,2015,3
flygbolag,2016,2
flygbolag,2017,3
flygbolag,2018,2
flygbolag,2019,3
flygbolag,2020,3
flygbolag,2021,3
flygbolag,2022,
flygbolag,2023,
forsknings,2000,
forsknings,2001,
forsknings,2002,
forsknings,2003,
forsknings,2004,
forsknings,2005,
forsknings,2006,18
forsknings,2007,19
forsknings,2008,18
forsknings,2009,12
forsknings,2010,13
forsknings,2011,13
forsknings,2012,14
forsknings,2013,13
forsknings,2014,13
forsknings,2015,13
forsknings,2016,12
forsknings,2017,9
forsknings,2018,9
forsknings,2019,14
forsknings,2020,16
forsknings,2021,18
forsknings,2022,
forsknings,2023,
foretag_for_bev,2000,
foretag_for_bev,2001,
foretag_for_bev,2002,
foretag_for_bev,2003,
foretag_for_bev,2004,
foretag_for_bev,2005,
foretag_for_bev,2006,4
foretag_for_bev,2007,5
foretag_for_bev,2008,6
foretag_for_bev,2009,7
foretag_for_bev,2010,9
foretag_for_bev,2011,9
foretag_for_bev,2012,6
foretag_for_bev,2013,6
foretag_for_bev,2014,6
foretag_for_bev,2015,6
foretag_for_bev,2016,4
foretag_for_bev,2017,5
foretag_for_bev,2018,7
foretag_for_bev,2019,9
foretag_for_bev,2020,14
foretag_for_bev,2021,12
foretag_for_bev,2022,
foretag_for_bev,2023,
foretag_for,2000,
foretag_for,2001,
foretag_for,2002,
foretag_for,2003,
foretag_for,2004,
foretag_for,2005,
foretag_for,2006,33
foretag_for,2007,39
foretag_for,2008,34
foretag_for,2009,26
foretag_for,2010,30
foretag_for,2011,33
foretag_for,2012,33
foretag_for,2013,31
foretag_for,2014,32
foretag_for,2015,36
foretag_for,2016,35
foretag_for,2017,47
foretag_for,2018,58
foretag_for,2019,59
foretag_for,2020,61
foretag_for,2021,62
foretag_for,2022,
foretag_for,2023,
forlag,2000,
forlag,2001,
forlag,2002,
forlag,2003,
forlag,2004,
forlag,2005,
forlag,2006,40
forlag,2007,30
forlag,2008,36
forlag,2009,35
forlag,2010,34
forlag,2011,32
forlag,2012,31
forlag,2013,33
forlag,2014,29
forlag,2015,34
forlag,2016,35
forlag,2017,33
forlag,2018,38
forlag,2019,38
forlag,2020,42
forlag,2021,42
forlag,2022,
forlag,2023,
forsakrings,2000,
forsakrings,2001,
forsakrings,2002,
forsakrings,2003,
forsakrings,2004,
forsakrings,2005,
