sni_id,year,kem_tonne
offentlig_forv,2014,175948
offentlig_forv,2015,211963
offentlig_forv,2016,229581
offentlig_forv,2017,211857
offentlig_forv,2018,242547
offentlig_forv,2019,231759
offentlig_forv,2020,243077
utbildning,2008,127112
utbildning,2009,115282
utbildning,2010,168230
utbildning,2011,166650
utbildning,2012,173657
utbildning,2013,142148
utbildning,2014,145186
utbildning,2015,192770
utbildning,2016,212659
utbildning,2017,193524
utbildning,2018,210863
utbildning,2019,195917
utbildning,2020,206040
halso,2008,277430
halso,2009,272175
halso,2010,368888
halso,2011,391690
halso,2012,430947
halso,2013,332480
halso,2014,361675
halso,2015,486043
halso,2016,499036
halso,2017,465772
halso,2018,491152
halso,2019,475526
halso,2020,552284
vard,2008,62899
vard,2009,59779
vard,2010,87649
vard,2011,91186
vard,2012,96634
vard,2013,81165
vard,2014,90494
vard,2015,138393
vard,2016,171264
vard,2017,146662
vard,2018,152151
vard,2019,138567
vard,2020,149962
kultur_noje,2008,35292
kultur_noje,2009,30754
kultur_noje,2010,45502
kultur_noje,2011,49682
kultur_noje,2012,54738
kultur_noje,2013,43405
kultur_noje,2014,44000
kultur_noje,2015,117427
kultur_noje,2016,133760
kultur_noje,2017,123051
kultur_noje,2018,134907
kultur_noje,2019,134530
kultur_noje,2020,141795
annan_serv,2008,78456
annan_serv,2009,72598
annan_serv,2010,96287
annan_serv,2011,103502
annan_serv,2012,105855
annan_serv,2013,95076
annan_serv,2014,102156
annan_serv,2015,136461
annan_serv,2016,160198
annan_serv,2017,140002
annan_serv,2018,145610
annan_serv,2019,149194
annan_serv,2020,156900
