sni_id,year,ant_kem
transport_mag,2009,784
transport_mag,2010,753
transport_mag,2011,686
transport_mag,2012,673
transport_mag,2013,663
transport_mag,2014,678
transport_mag,2015,705
transport_mag,2016,680
transport_mag,2017,672
transport_mag,2018,673
transport_mag,2019,622
transport_mag,2020,605
transport_mag,2021,642
transport_mag,2022,657
transport_mag,2023,
hotell_rest_i,2007,
hotell_rest_i,2008,549
hotell_rest_i,2009,539
hotell_rest_i,2010,533
hotell_rest_i,2011,550
hotell_rest_i,2012,587
hotell_rest_i,2013,565
hotell_rest_i,2014,725
hotell_rest_i,2015,667
hotell_rest_i,2016,650
hotell_rest_i,2017,645
hotell_rest_i,2018,601
hotell_rest_i,2019,666
hotell_rest_i,2020,708
hotell_rest_i,2021,750
hotell_rest_i,2022,769
hotell_rest_i,2023,
fastighetsbolag_g,2007,
fastighetsbolag_g,2008,193
fastighetsbolag_g,2009,187
fastighetsbolag_g,2010,196
fastighetsbolag_g,2011,195
fastighetsbolag_g,2012,271
fastighetsbolag_g,2013,284
fastighetsbolag_g,2014,282
fastighetsbolag_g,2015,282
fastighetsbolag_g,2016,268
fastighetsbolag_g,2017,239
fastighetsbolag_g,2018,212
fastighetsbolag_g,2019,222
fastighetsbolag_g,2020,193
fastighetsbolag_g,2021,186
fastighetsbolag_g,2022,197
fastighetsbolag_g,2023,
arkitekt,2007,
arkitekt,2008,571
arkitekt,2009,457
arkitekt,2010,1307
arkitekt,2011,1202
arkitekt,2012,1082
arkitekt,2013,1392
arkitekt,2014,1500
arkitekt,2015,1683
arkitekt,2016,1863
arkitekt,2017,2421
arkitekt,2018,2584
arkitekt,2019,2708
arkitekt,2020,2756
arkitekt,2021,2716
arkitekt,2022,2805
arkitekt,2023,
forsknings,2007,
forsknings,2008,314
forsknings,2009,336
forsknings,2010,355
forsknings,2011,364
forsknings,2012,394
forsknings,2013,406
forsknings,2014,446
forsknings,2015,419
forsknings,2016,416
forsknings,2017,434
forsknings,2018,495
forsknings,2019,587
forsknings,2020,628
forsknings,2021,811
forsknings,2022,917
forsknings,2023,
jur_andra,2007,
jur_andra,2008,440
jur_andra,2009,443
jur_andra,2010,390
jur_andra,2011,340
jur_andra,2012,305
jur_andra,2013,234
jur_andra,2014,293
jur_andra,2015,259
jur_andra,2016,343
jur_andra,2017,355
jur_andra,2018,253
jur_andra,2019,279
jur_andra,2020,238
jur_andra,2021,186
jur_andra,2022,182
jur_andra,2023,
veterinarkliniker,2007,
veterinarkliniker,2008,15
veterinarkliniker,2009,24
veterinarkliniker,2010,29
veterinarkliniker,2011,27
veterinarkliniker,2012,29
veterinarkliniker,2013,36
veterinarkliniker,2014,37
veterinarkliniker,2015,39
veterinarkliniker,2016,51
veterinarkliniker,2017,86
veterinarkliniker,2018,88
veterinarkliniker,2019,106
veterinarkliniker,2020,108
veterinarkliniker,2021,102
veterinarkliniker,2022,109
veterinarkliniker,2023,
foretag_for,2007,
foretag_for,2008,1794
foretag_for,2009,1914
foretag_for,2010,2184
foretag_for,2011,2341
foretag_for,2012,2524
foretag_for,2013,2474
foretag_for,2014,2480
foretag_for,2015,2591
foretag_for,2016,2809
foretag_for,2017,2987
foretag_for,2018,2815
foretag_for,2019,3326
foretag_for,2020,3856
foretag_for,2021,3970
foretag_for,2022,3997
foretag_for,2023,
offentlig_forv,2007,
offentlig_forv,2008,165
offentlig_forv,2009,153
offentlig_forv,2010,134
offentlig_forv,2011,142
offentlig_forv,2012,146
offentlig_forv,2013,139
offentlig_forv,2014,123
offentlig_forv,2015,131
offentlig_forv,2016,139
offentlig_forv,2017,139
offentlig_forv,2018,141
offentlig_forv,2019,133
offentlig_forv,2020,119
offentlig_forv,2021,112
offentlig_forv,2022,120
offentlig_forv,2023,
utbildning,2007,
utbildning,2008,90
utbildning,2009,64
utbildning,2010,76
utbildning,2011,61
utbildning,2012,61
utbildning,2013,62
utbildning,2014,60
utbildning,2015,61
utbildning,2016,63
utbildning,2017,48
utbildning,2018,46
utbildning,2019,43
utbildning,2020,51
utbildning,2021,49
utbildning,2022,53
utbildning,2023,
vard_om,2007,
vard_om,2008,775
vard_om,2009,817
vard_om,2010,815
vard_om,2011,754
vard_om,2012,776
vard_om,2013,765
vard_om,2014,790
vard_om,2015,832
vard_om,2016,809
vard_om,2017,840
vard_om,2018,817
vard_om,2019,873
vard_om,2020,880
vard_om,2021,1034
vard_om,2022,937
vard_om,2023,
sport_frit,2007,
sport_frit,2008,171
sport_frit,2009,172
sport_frit,2010,167
sport_frit,2011,170
sport_frit,2012,171
sport_frit,2013,165
sport_frit,2014,144
sport_frit,2015,145
sport_frit,2016,147
sport_frit,2017,162
sport_frit,2018,212
sport_frit,2019,193
sport_frit,2020,263
sport_frit,2021,287
sport_frit,2022,291
sport_frit,2023,
reparationsverkstader_for,2007,
reparationsverkstader_for,2008,100.18453038674
reparationsverkstader_for,2009,85.7266514806378
reparationsverkstader_for,2010,86.0011481056257
reparationsverkstader_for,2011,104.335483870968
reparationsverkstader_for,2012,103.198630136986
reparationsverkstader_for,2013,34.9528301886792
reparationsverkstader_for,2014,53.8395285584769
reparationsverkstader_for,2015,64
reparationsverkstader_for,2016,50.8010610079576
reparationsverkstader_for,2017,79.6979006656426
reparationsverkstader_for,2018,79.3179317931793
reparationsverkstader_for,2019,56.9748797434527
reparationsverkstader_for,2020,61.71875
reparationsverkstader_for,2021,89.6174168297456
reparationsverkstader_for,2022,68.0682364247958
reparationsverkstader_for,2023,
andra_kons,2007,
andra_kons,2008,804.81546961326
andra_kons,2009,792.273348519362
andra_kons,2010,784.998851894374
andra_kons,2011,825.664516129032
andra_kons,2012,772.801369863014
andra_kons,2013,813.047169811321
andra_kons,2014,1049.16047144152
andra_kons,2015,1190
andra_kons,2016,1457.19893899204
andra_kons,2017,1873.30209933436
andra_kons,2018,1738.68206820682
andra_kons,2019,1814.02512025655
andra_kons,2020,1954.28125
andra_kons,2021,1954.38258317025
andra_kons,2022,2012.9317635752
andra_kons,2023,
exp_export,2007,
exp_export,2008,15917
exp_export,2009,15224
exp_export,2010,17898
exp_export,2011,19086
exp_export,2012,20107
exp_export,2013,20471
exp_export,2014,21526
exp_export,2015,22082
exp_export,2016,23784
exp_export,2017,23514
exp_export,2018,24200
exp_export,2019,25820
exp_export,2020,23781
exp_export,2021,26268
exp_export,2022,27434
exp_export,2023,
