sni_id,year,utsl_ghg
magasinering,2011,701
magasinering,2012,652
magasinering,2013,634
magasinering,2014,633
magasinering,2015,644
magasinering,2016,580
magasinering,2017,569
magasinering,2018,546
magasinering,2019,574
magasinering,2020,566
magasinering,2021,602
magasinering,2022,561
magasinering,2023,
massa_papp,2000,
massa_papp,2001,
massa_papp,2002,
massa_papp,2003,
massa_papp,2004,
massa_papp,2005,
massa_papp,2006,
massa_papp,2007,
massa_papp,2008,1869
massa_papp,2009,1566
massa_papp,2010,1640
massa_papp,2011,1499
massa_papp,2012,1392
massa_papp,2013,1152
massa_papp,2014,994
massa_papp,2015,927
massa_papp,2016,1063
massa_papp,2017,1044
massa_papp,2018,1106
massa_papp,2019,1053
massa_papp,2020,987
massa_papp,2021,1020
massa_papp,2022,932
massa_papp,2023,
nationell_tota_exk,2000,
nationell_tota_exk,2001,
nationell_tota_exk,2002,
nationell_tota_exk,2003,
nationell_tota_exk,2004,
nationell_tota_exk,2005,
nationell_tota_exk,2006,
nationell_tota_exk,2007,
nationell_tota_exk,2008,62406.1
nationell_tota_exk,2009,58174.2
nationell_tota_exk,2010,64156.9
nationell_tota_exk,2011,59800.4
nationell_tota_exk,2012,56899.5
nationell_tota_exk,2013,55273.9
nationell_tota_exk,2014,53519.1
nationell_tota_exk,2015,53339.5
nationell_tota_exk,2016,53243.3
nationell_tota_exk,2017,52318.2
nationell_tota_exk,2018,51563
nationell_tota_exk,2019,50201.2
nationell_tota_exk,2020,45999.6
nationell_tota_exk,2021,47723.1
nationell_tota_exk,2022,45249.3
nationell_tota_exk,2023,
nationell_total,2000,
nationell_total,2001,
nationell_total,2002,
nationell_total,2003,
nationell_total,2004,
nationell_total,2005,
nationell_total,2006,
nationell_total,2007,
nationell_total,2008,71772.4
nationell_total,2009,67620.1
nationell_total,2010,73222.6
nationell_total,2011,67920.3
nationell_total,2012,64661.7
nationell_total,2013,62783.8
nationell_total,2014,61495.7
nationell_total,2015,61372.3
nationell_total,2016,62208
nationell_total,2017,62501.3
nationell_total,2018,60115.9
nationell_total,2019,59872.8
nationell_total,2020,55246.9
nationell_total,2021,56205.6
nationell_total,2022,54120.1
nationell_total,2023,
nationell_tota_ink,2000,
nationell_tota_ink,2001,
nationell_tota_ink,2002,
nationell_tota_ink,2003,
nationell_tota_ink,2004,
nationell_tota_ink,2005,
nationell_tota_ink,2006,
nationell_tota_ink,2007,
nationell_tota_ink,2008,17140.3
nationell_tota_ink,2009,14025.7
nationell_tota_ink,2010,16409
nationell_tota_ink,2011,12019.3
nationell_tota_ink,2012,9110.5
nationell_tota_ink,2013,6172
nationell_tota_ink,2014,6509.2
nationell_tota_ink,2015,9031
nationell_tota_ink,2016,10935
nationell_tota_ink,2017,17798.2
nationell_tota_ink,2018,21505.9
nationell_tota_ink,2019,19359.5
nationell_tota_ink,2020,12204.2
nationell_tota_ink,2021,12614.6
nationell_tota_ink,2022,12902.5
nationell_tota_ink,2023,
offentlig_sekt,2000,
offentlig_sekt,2001,
offentlig_sekt,2002,
offentlig_sekt,2003,
offentlig_sekt,2004,
offentlig_sekt,2005,
offentlig_sekt,2006,
offentlig_sekt,2007,
offentlig_sekt,2008,587
