sni_id,year,fordonskatt
halso,2017,27
halso,2018,25
halso,2019,30
halso,2020,36
halso,2021,40
halso,2022,37
halso,2023,
vard,2007,
vard,2008,37
vard,2009,10
vard,2010,11
vard,2011,10
vard,2012,10
vard,2013,8
vard,2014,4
vard,2015,10
vard,2016,19
vard,2017,86
vard,2018,82
vard,2019,87
vard,2020,97
vard,2021,114
vard,2022,103
vard,2023,
kultur_noje,2007,
kultur_noje,2008,26
kultur_noje,2009,27
kultur_noje,2010,26
kultur_noje,2011,26
kultur_noje,2012,25
kultur_noje,2013,27
kultur_noje,2014,16
kultur_noje,2015,17
kultur_noje,2016,21
kultur_noje,2017,23
kultur_noje,2018,21
kultur_noje,2019,24
kultur_noje,2020,26
kultur_noje,2021,28
kultur_noje,2022,31
kultur_noje,2023,
annan_serv,2007,
annan_serv,2008,36
annan_serv,2009,39
annan_serv,2010,39
annan_serv,2011,35
annan_serv,2012,37
annan_serv,2013,38
annan_serv,2014,21
annan_serv,2015,23
annan_serv,2016,28
annan_serv,2017,27
annan_serv,2018,26
annan_serv,2019,30
annan_serv,2020,34
annan_serv,2021,38
annan_serv,2022,37
annan_serv,2023,
internationella_org,2007,
internationella_org,2008,0
internationella_org,2009,0
internationella_org,2010,0
internationella_org,2011,0
internationella_org,2012,0
internationella_org,2013,0
internationella_org,2014,0
internationella_org,2015,0
internationella_org,2016,0
internationella_org,2017,0
internationella_org,2018,0
internationella_org,2019,0
internationella_org,2020,0
internationella_org,2021,0
internationella_org,2022,0
internationella_org,2023,
exp_export,2007,
exp_export,2008,0
exp_export,2009,0
exp_export,2010,0
exp_export,2011,0
exp_export,2012,0
exp_export,2013,0
exp_export,2014,0
exp_export,2015,0
exp_export,2016,0
exp_export,2017,0
exp_export,2018,0
exp_export,2019,0
exp_export,2020,0
exp_export,2021,0
exp_export,2022,0
exp_export,2023,
offentlig_sekt,2007,
offentlig_sekt,2008,182
offentlig_sekt,2009,175
offentlig_sekt,2010,178
offentlig_sekt,2011,179
offentlig_sekt,2012,185
offentlig_sekt,2013,186
offentlig_sekt,2014,180
offentlig_sekt,2015,203
offentlig_sekt,2016,275
offentlig_sekt,2017,246
offentlig_sekt,2018,245
offentlig_sekt,2019,278
offentlig_sekt,2020,312
offentlig_sekt,2021,353
offentlig_sekt,2022,320
offentlig_sekt,2023,
hushall,2007,
hushall,2008,0
hushall,2009,0
hushall,2010,0
hushall,2011,0
hushall,2012,0
hushall,2013,0
hushall,2014,0
hushall,2015,0
hushall,2016,0
hushall,2017,0
hushall,2018,0
hushall,2019,0
hushall,2020,0
hushall,2021,0
hushall,2022,0
hushall,2023,
privat_kons,2007,
privat_kons,2008,8102
privat_kons,2009,8411
privat_kons,2010,8550
privat_kons,2011,8089
privat_kons,2012,8058
privat_kons,2013,8275
