sni_id,year,varuexp
textilindustri,2016,8142622
textilindustri,2017,8655222
textilindustri,2018,8642127
textilindustri,2019,9255381
textilindustri,2020,9491212
textilindustri,2021,9911848
textilindustri,2022,10962032
textilindustri,2023,11818305
film_vide,2000,
film_vide,2001,
film_vide,2002,
film_vide,2003,
film_vide,2004,
film_vide,2005,
film_vide,2006,
film_vide,2007,
film_vide,2008,
film_vide,2009,
film_vide,2010,2567629
film_vide,2011,2262939
film_vide,2012,1962736
film_vide,2013,1412496
film_vide,2014,1080340
film_vide,2015,909739
film_vide,2016,1301799
film_vide,2017,3024415
film_vide,2018,2062616
film_vide,2019,1937784
film_vide,2020,2213009
film_vide,2021,1764952
film_vide,2022,2064435
film_vide,2023,1659800
jur_andra,2000,
jur_andra,2001,
jur_andra,2002,
jur_andra,2003,
jur_andra,2004,
jur_andra,2005,
jur_andra,2006,
jur_andra,2007,
jur_andra,2008,
jur_andra,2009,
jur_andra,2010,1619
jur_andra,2011,657
jur_andra,2012,573
jur_andra,2013,306
jur_andra,2014,667
jur_andra,2015,576
jur_andra,2016,2075
jur_andra,2017,1327
jur_andra,2018,1180
jur_andra,2019,969
jur_andra,2020,825
jur_andra,2021,1452
jur_andra,2022,262
jur_andra,2023,565
tobaksindustri,2000,
tobaksindustri,2001,
tobaksindustri,2002,
tobaksindustri,2003,
tobaksindustri,2004,
tobaksindustri,2005,
tobaksindustri,2006,
tobaksindustri,2007,
tobaksindustri,2008,
tobaksindustri,2009,
tobaksindustri,2010,559235
tobaksindustri,2011,599580
tobaksindustri,2012,1404816
tobaksindustri,2013,1537059
tobaksindustri,2014,1649212
tobaksindustri,2015,1790232
tobaksindustri,2016,1966556
tobaksindustri,2017,2215754
tobaksindustri,2018,2689249
tobaksindustri,2019,3542118
tobaksindustri,2020,4100686
tobaksindustri,2021,4376630
tobaksindustri,2022,4669145
tobaksindustri,2023,5914535
industri_for_tra,2000,
industri_for_tra,2001,
industri_for_tra,2002,
industri_for_tra,2003,
industri_for_tra,2004,
industri_for_tra,2005,
industri_for_tra,2006,
industri_for_tra,2007,
industri_for_tra,2008,
