sni_id,year,trangselskatt
halso,2019,62
halso,2020,12
halso,2021,12
halso,2022,11
halso,2023,
vard,2007,
vard,2008,3
vard,2009,3
vard,2010,3
vard,2011,3
vard,2012,3
vard,2013,6
vard,2014,5
vard,2015,5
vard,2016,7
vard,2017,8
vard,2018,8
vard,2019,37
vard,2020,6
vard,2021,6
vard,2022,5
vard,2023,
kultur_noje,2007,
kultur_noje,2008,2
kultur_noje,2009,2
kultur_noje,2010,3
kultur_noje,2011,3
kultur_noje,2012,3
kultur_noje,2013,5
kultur_noje,2014,4
kultur_noje,2015,5
kultur_noje,2016,6
kultur_noje,2017,7
kultur_noje,2018,7
kultur_noje,2019,103
kultur_noje,2020,6
kultur_noje,2021,7
kultur_noje,2022,7
kultur_noje,2023,
annan_serv,2007,
annan_serv,2008,4
annan_serv,2009,5
annan_serv,2010,5
annan_serv,2011,5
annan_serv,2012,5
annan_serv,2013,9
annan_serv,2014,8
annan_serv,2015,8
annan_serv,2016,11
annan_serv,2017,12
annan_serv,2018,12
annan_serv,2019,46
annan_serv,2020,13
annan_serv,2021,12
annan_serv,2022,12
annan_serv,2023,
internationella_org,2007,
internationella_org,2008,0
internationella_org,2009,0
internationella_org,2010,0
internationella_org,2011,0
internationella_org,2012,0
internationella_org,2013,0
internationella_org,2014,0
internationella_org,2015,0
internationella_org,2016,0
internationella_org,2017,0
internationella_org,2018,0
internationella_org,2019,6
internationella_org,2020,0
internationella_org,2021,0
internationella_org,2022,0
internationella_org,2023,
exp_export,2007,
exp_export,2008,0
exp_export,2009,0
exp_export,2010,0
exp_export,2011,0
exp_export,2012,0
exp_export,2013,0
exp_export,2014,0
exp_export,2015,0
exp_export,2016,0
exp_export,2017,0
exp_export,2018,0
exp_export,2019,0
exp_export,2020,0
exp_export,2021,0
exp_export,2022,0
exp_export,2023,
offentlig_sekt,2007,
offentlig_sekt,2008,0
offentlig_sekt,2009,0
offentlig_sekt,2010,0
offentlig_sekt,2011,0
offentlig_sekt,2012,0
offentlig_sekt,2013,0
offentlig_sekt,2014,0
offentlig_sekt,2015,0
offentlig_sekt,2016,0
offentlig_sekt,2017,0
offentlig_sekt,2018,0
offentlig_sekt,2019,0
offentlig_sekt,2020,0
offentlig_sekt,2021,0
offentlig_sekt,2022,0
offentlig_sekt,2023,
hushall,2007,
hushall,2008,0
hushall,2009,0
hushall,2010,0
hushall,2011,0
hushall,2012,0
hushall,2013,0
hushall,2014,0
hushall,2015,0
hushall,2016,0
hushall,2017,0
hushall,2018,0
hushall,2019,0
hushall,2020,0
hushall,2021,0
hushall,2022,0
hushall,2023,
privat_kons,2007,
privat_kons,2008,269
privat_kons,2009,314
privat_kons,2010,320
privat_kons,2011,320
privat_kons,2012,325
privat_kons,2013,597
privat_kons,2014,888
privat_kons,2015,972
privat_kons,2016,1453
privat_kons,2017,1488
privat_kons,2018,1462
privat_kons,2019,1423
privat_kons,2020,1532
privat_kons,2021,1550
privat_kons,2022,1405
privat_kons,2023,
bransch_ospe,2007,
bransch_ospe,2008,0
bransch_ospe,2009,0
bransch_ospe,2010,0
bransch_ospe,2011,0
bransch_ospe,2012,0
bransch_ospe,2013,0
bransch_ospe,2014,0
bransch_ospe,2015,0
bransch_ospe,2016,0
bransch_ospe,2017,0
bransch_ospe,2018,0
bransch_ospe,2019,0
bransch_ospe,2020,0
bransch_ospe,2021,0
bransch_ospe,2022,0
bransch_ospe,2023,
