sni_id,year,el_energi
reklam_und,2020,63
reklam_und,2021,30
reklam_und,2022,17
reklam_und,2023,31
uthyrningsfirmor,2008,51
uthyrningsfirmor,2009,49
uthyrningsfirmor,2010,53
uthyrningsfirmor,2011,56
uthyrningsfirmor,2012,50
uthyrningsfirmor,2013,54
uthyrningsfirmor,2014,59
uthyrningsfirmor,2015,48
uthyrningsfirmor,2016,47
uthyrningsfirmor,2017,56
uthyrningsfirmor,2018,54
uthyrningsfirmor,2019,70
uthyrningsfirmor,2020,84
uthyrningsfirmor,2021,36
uthyrningsfirmor,2022,10
uthyrningsfirmor,2023,23
arbetsformedling_rese,2008,68
arbetsformedling_rese,2009,62
arbetsformedling_rese,2010,68
arbetsformedling_rese,2011,72
arbetsformedling_rese,2012,64
arbetsformedling_rese,2013,68
arbetsformedling_rese,2014,74
arbetsformedling_rese,2015,79
arbetsformedling_rese,2016,79
arbetsformedling_rese,2017,88
arbetsformedling_rese,2018,82
arbetsformedling_rese,2019,109
arbetsformedling_rese,2020,151
arbetsformedling_rese,2021,104
arbetsformedling_rese,2022,40
arbetsformedling_rese,2023,66
offentlig_forv,2008,0
offentlig_forv,2009,0
offentlig_forv,2010,0
offentlig_forv,2011,0
offentlig_forv,2012,0
offentlig_forv,2013,0
offentlig_forv,2014,0
offentlig_forv,2015,0
offentlig_forv,2016,0
offentlig_forv,2017,0
offentlig_forv,2018,0
offentlig_forv,2019,0
offentlig_forv,2020,0
offentlig_forv,2021,0
offentlig_forv,2022,0
offentlig_forv,2023,0
utbildning,2008,66
utbildning,2009,70
utbildning,2010,69
utbildning,2011,65
utbildning,2012,60
utbildning,2013,57
utbildning,2014,55
utbildning,2015,75
utbildning,2016,69
utbildning,2017,77
utbildning,2018,83
utbildning,2019,95
utbildning,2020,97
utbildning,2021,86
utbildning,2022,66
utbildning,2023,112
halso,2008,102
halso,2009,98
halso,2010,100
halso,2011,95
halso,2012,86
halso,2013,86
halso,2014,84
halso,2015,150
halso,2016,143
halso,2017,150
halso,2018,160
halso,2019,176
halso,2020,194
halso,2021,45
halso,2022,30
halso,2023,53
vard,2008,62
vard,2009,59
vard,2010,60
vard,2011,57
vard,2012,52
vard,2013,52
vard,2014,51
vard,2015,40
vard,2016,39
vard,2017,40
vard,2018,42
vard,2019,46
vard,2020,51
vard,2021,67
vard,2022,51
vard,2023,68
kultur_noje,2008,85
kultur_noje,2009,97
kultur_noje,2010,94
kultur_noje,2011,76
kultur_noje,2012,73
kultur_noje,2013,72
kultur_noje,2014,70
kultur_noje,2015,154
kultur_noje,2016,150
kultur_noje,2017,154
kultur_noje,2018,158
kultur_noje,2019,181
kultur_noje,2020,213
kultur_noje,2021,196
kultur_noje,2022,123
kultur_noje,2023,214
annan_serv,2008,42
annan_serv,2009,38
