sni_id,year,utsl_koldi
gummi,2021,60.6286285352406
gummi,2022,58.6950760811451
gummi,2023,
hand_g,2000,
hand_g,2001,
hand_g,2002,
hand_g,2003,
hand_g,2004,
hand_g,2005,
hand_g,2006,
hand_g,2007,
hand_g,2008,1814.21994907554
hand_g,2009,1643.19802716944
hand_g,2010,1736.56341056492
hand_g,2011,1801.43714482063
hand_g,2012,1599.81528531036
hand_g,2013,1585.18900440479
hand_g,2014,1437.30303743846
hand_g,2015,1411.84045408505
hand_g,2016,1359.39444900538
hand_g,2017,1309.33269949614
hand_g,2018,1313.09338963022
hand_g,2019,1348.967399441
hand_g,2020,1209.41700483851
hand_g,2021,1204.75207210991
hand_g,2022,1190.8007459272
hand_g,2023,
hotell_rest_i,2000,
hotell_rest_i,2001,
hotell_rest_i,2002,
hotell_rest_i,2003,
hotell_rest_i,2004,
hotell_rest_i,2005,
hotell_rest_i,2006,
hotell_rest_i,2007,
hotell_rest_i,2008,84.8289007841948
hotell_rest_i,2009,84.8990590068184
hotell_rest_i,2010,89.9091327132601
hotell_rest_i,2011,84.6389486479961
hotell_rest_i,2012,79.5074664400444
hotell_rest_i,2013,79.2234078934083
hotell_rest_i,2014,76.7981132887082
hotell_rest_i,2015,78.5385058848756
hotell_rest_i,2016,76.3804627649787
hotell_rest_i,2017,75.1802810521168
hotell_rest_i,2018,72.8205562621498
hotell_rest_i,2019,70.9133553432138
hotell_rest_i,2020,66.075638814507
hotell_rest_i,2021,66.3592444256443
hotell_rest_i,2022,60.2891612334595
hotell_rest_i,2023,
hushall_hh,2000,
hushall_hh,2001,
hushall_hh,2002,
hushall_hh,2003,
hushall_hh,2004,
hushall_hh,2005,
hushall_hh,2006,
hushall_hh,2007,
hushall_hh,2008,10900.5687907235
hushall_hh,2009,10859.1022620119
hushall_hh,2010,10671.5538450475
hushall_hh,2011,9956.17981337374
hushall_hh,2012,9578.35272430033
hushall_hh,2013,9491.28064124093
hushall_hh,2014,9403.42744640196
hushall_hh,2015,9561.61417626095
hushall_hh,2016,9302.73621234424
hushall_hh,2017,9164.53306560913
hushall_hh,2018,8820.80455177305
hushall_hh,2019,8545.33908817541
hushall_hh,2020,7969.91616564603
hushall_hh,2021,7995.2923666238
hushall_hh,2022,7112.91388537238
hushall_hh,2023,
halso,2000,
halso,2001,
halso,2002,
halso,2003,
halso,2004,
halso,2005,
halso,2006,
halso,2007,
halso,2008,105.438875083631
halso,2009,104.479105924263
halso,2010,103.057138151829
halso,2011,98.7168838561582
halso,2012,98.2253878166324
halso,2013,90.4626140438674
halso,2014,83.7515896660966
halso,2015,82.194423964696
halso,2016,79.0949147465472
halso,2017,74.5860364024341
halso,2018,71.753800593276
halso,2019,70.3694735222066
halso,2020,64.4851297793313
halso,2021,61.9126688242704
halso,2022,54.2113239323316
halso,2023,
icke_met_andra,2000,
icke_met_andra,2001,
icke_met_andra,2002,
icke_met_andra,2003,
icke_met_andra,2004,
icke_met_andra,2005,
icke_met_andra,2006,
icke_met_andra,2007,
icke_met_andra,2008,3460.64895477925
icke_met_andra,2009,2936.11999727691
icke_met_andra,2010,3332.32480740643
icke_met_andra,2011,3417.28477233201
icke_met_andra,2012,3457.66917983794
icke_met_andra,2013,3150.22939759305
icke_met_andra,2014,3093.55098208757
icke_met_andra,2015,3248.07296093275
icke_met_andra,2016,3329.91739548724
icke_met_andra,2017,3296.73680716688
icke_met_andra,2018,3374.66102836209
icke_met_andra,2019,2924.4048641088
icke_met_andra,2020,2754.41189691683
icke_met_andra,2021,2746.02597766002
icke_met_andra,2022,2641.1224352013
icke_met_andra,2023,
datorer_elek,2000,
datorer_elek,2001,
datorer_elek,2002,
datorer_elek,2003,
datorer_elek,2004,
datorer_elek,2005,
datorer_elek,2006,
datorer_elek,2007,
datorer_elek,2008,26.4985384393442
datorer_elek,2009,21.0767687356741
datorer_elek,2010,20.3199306124903
datorer_elek,2011,18.7420556102835
datorer_elek,2012,18.3827886776043
datorer_elek,2013,16.5489624659931
datorer_elek,2014,13.8639857900388
datorer_elek,2015,11.7003150462063
datorer_elek,2016,11.7217860604063
datorer_elek,2017,10.3235855216503
datorer_elek,2018,10.0844811194191
datorer_elek,2019,9.64953752401777
datorer_elek,2020,9.58951500654948
datorer_elek,2021,9.40929845513183
datorer_elek,2022,8.84725811611399
datorer_elek,2023,
elapparatur,2000,
elapparatur,2001,
elapparatur,2002,
elapparatur,2003,
elapparatur,2004,
elapparatur,2005,
elapparatur,2006,
elapparatur,2007,
elapparatur,2008,40.1943728320969
elapparatur,2009,37.903375522248
elapparatur,2010,56.262741518491
elapparatur,2011,35.407515457126
elapparatur,2012,31.7663192018735
elapparatur,2013,31.0532457274595
elapparatur,2014,28.0410668530215
elapparatur,2015,25.3346878727191
elapparatur,2016,26.5214052920376
elapparatur,2017,24.7582217694073
elapparatur,2018,23.4063285411743
elapparatur,2019,21.7040320338459
elapparatur,2020,18.0014679810777
elapparatur,2021,18.533809435411
elapparatur,2022,17.4385316358993
elapparatur,2023,
industri_for_met,2000,
industri_for_met,2001,
industri_for_met,2002,
industri_for_met,2003,
industri_for_met,2004,
industri_for_met,2005,
industri_for_met,2006,
industri_for_met,2007,
industri_for_met,2008,259.277696042342
industri_for_met,2009,234.244498244049
industri_for_met,2010,244.544914056194
industri_for_met,2011,214.328612836048
industri_for_met,2012,218.007448636278
industri_for_met,2013,207.406428127498
industri_for_met,2014,201.558750675706
industri_for_met,2015,185.764847008136
industri_for_met,2016,176.406715997654
industri_for_met,2017,184.461742482505
industri_for_met,2018,169.484639236411
industri_for_met,2019,171.129274740162
industri_for_met,2020,141.500016531623
industri_for_met,2021,142.079311534619
industri_for_met,2022,129.465151742161
industri_for_met,2023,
industri_for_mot,2000,
industri_for_mot,2001,
industri_for_mot,2002,
industri_for_mot,2003,
industri_for_mot,2004,
industri_for_mot,2005,
industri_for_mot,2006,
industri_for_mot,2007,
industri_for_mot,2008,257.668893728814
industri_for_mot,2009,203.976519333736
industri_for_mot,2010,237.090078754596
industri_for_mot,2011,216.290291488539
industri_for_mot,2012,213.528448549881
industri_for_mot,2013,220.745901325516
industri_for_mot,2014,178.648605711593
industri_for_mot,2015,182.640733574038
industri_for_mot,2016,152.326194003797
industri_for_mot,2017,180.715153634253
industri_for_mot,2018,185.423123196812
industri_for_mot,2019,172.477862674536
industri_for_mot,2020,136.733396987917
industri_for_mot,2021,147.080492135574
industri_for_mot,2022,124.914722097295
industri_for_mot,2023,
industri_for_sten,2000,
industri_for_sten,2001,
industri_for_sten,2002,
industri_for_sten,2003,
industri_for_sten,2004,
industri_for_sten,2005,
industri_for_sten,2006,
industri_for_sten,2007,
industri_for_sten,2008,3074.97298792024
industri_for_sten,2009,3051.53656381721
industri_for_sten,2010,2999.17490007542
industri_for_sten,2011,2881.79589247979
industri_for_sten,2012,3058.98196601876
industri_for_sten,2013,2644.72845754497
industri_for_sten,2014,2837.56299590765
industri_for_sten,2015,2909.36526222125
industri_for_sten,2016,2847.06121542979
industri_for_sten,2017,2928.48911870662
industri_for_sten,2018,3069.58153760619
industri_for_sten,2019,2461.09721605085
industri_for_sten,2020,2360.68124325793
industri_for_sten,2021,2798.20547764359
industri_for_sten,2022,2702.75060726237
industri_for_sten,2023,
industri_for_tra,2000,
industri_for_tra,2001,
industri_for_tra,2002,
industri_for_tra,2003,
industri_for_tra,2004,
industri_for_tra,2005,
industri_for_tra,2006,
industri_for_tra,2007,
industri_for_tra,2008,222.716864434273
industri_for_tra,2009,215.103959449547
industri_for_tra,2010,223.771487466321
industri_for_tra,2011,220.508216104482
industri_for_tra,2012,201.345898357228
industri_for_tra,2013,184.624679236909
industri_for_tra,2014,174.532626649409
industri_for_tra,2015,178.458189499224
industri_for_tra,2016,250.839259937054
industri_for_tra,2017,259.454111416771
industri_for_tra,2018,274.018784639622
industri_for_tra,2019,272.807483161428
industri_for_tra,2020,267.83995962058
industri_for_tra,2021,272.522738058385
industri_for_tra,2022,258.838235718379
industri_for_tra,2023,
jordbruksforetag_serv,2000,
jordbruksforetag_serv,2001,
jordbruksforetag_serv,2002,
jordbruksforetag_serv,2003,
jordbruksforetag_serv,2004,
jordbruksforetag_serv,2005,
jordbruksforetag_serv,2006,
jordbruksforetag_serv,2007,
jordbruksforetag_serv,2008,1328.51869166936
jordbruksforetag_serv,2009,1279.75803149042
jordbruksforetag_serv,2010,1418.16360715724
jordbruksforetag_serv,2011,1387.89654901418
jordbruksforetag_serv,2012,1377.05195180128
jordbruksforetag_serv,2013,1341.81911739542
jordbruksforetag_serv,2014,1255.96579959137
jordbruksforetag_serv,2015,1238.98587847318
jordbruksforetag_serv,2016,1189.00339876311
jordbruksforetag_serv,2017,1158.69110443832
jordbruksforetag_serv,2018,1026.71477461291
jordbruksforetag_serv,2019,1040.25604567518
jordbruksforetag_serv,2020,991.100420520859
jordbruksforetag_serv,2021,996.493894252465
jordbruksforetag_serv,2022,886.233635428493
jordbruksforetag_serv,2023,
juridisk_ek,2000,
juridisk_ek,2001,
juridisk_ek,2002,
juridisk_ek,2003,
juridisk_ek,2004,
juridisk_ek,2005,
juridisk_ek,2006,
juridisk_ek,2007,
juridisk_ek,2008,296.642312214945
juridisk_ek,2009,282.498615637186
juridisk_ek,2010,277.285867905395
juridisk_ek,2011,280.49024289748
juridisk_ek,2012,253.554251323707
juridisk_ek,2013,245.1307555702
juridisk_ek,2014,237.149804520229
juridisk_ek,2015,230.345328221161
juridisk_ek,2016,215.432033188226
juridisk_ek,2017,203.623304528573
juridisk_ek,2018,195.436481251113
juridisk_ek,2019,197.496494922076
juridisk_ek,2020,180.574649290384
juridisk_ek,2021,139.217959610944
juridisk_ek,2022,122.401207899149
juridisk_ek,2023,
kultur_noje,2000,
kultur_noje,2001,
kultur_noje,2002,
kultur_noje,2003,
kultur_noje,2004,
kultur_noje,2005,
kultur_noje,2006,
kultur_noje,2007,
kultur_noje,2008,167.82611598304
