country,year,arbk_med
frsg_el_gas,2008,49.1
frsg_el_gas,2009,50.2
frsg_el_gas,2010,49.8
frsg_el_gas,2011,50.7
frsg_el_gas,2012,51.4
frsg_el_gas,2013,52.7
frsg_el_gas,2014,53.4
frsg_el_gas,2015,53.7
frsg_el_gas,2016,53.9
frsg_el_gas,2017,55
frsg_el_gas,2018,55.9
frsg_el_gas,2019,56.9
frsg_el_gas,2020,58.7
frsg_el_gas,2021,59.8
frsg_el_gas,2022,60.2
frsg_el_gas,2023,
el_gs_vrm,2003,
el_gs_vrm,2004,
el_gs_vrm,2005,
el_gs_vrm,2006,
el_gs_vrm,2007,
el_gs_vrm,2008,27
el_gs_vrm,2009,27.7
el_gs_vrm,2010,27.9
el_gs_vrm,2011,26.9
el_gs_vrm,2012,27.1
el_gs_vrm,2013,27.6
el_gs_vrm,2014,27.7
el_gs_vrm,2015,27.7
el_gs_vrm,2016,27.8
el_gs_vrm,2017,28.5
el_gs_vrm,2018,28.3
el_gs_vrm,2019,28.8
el_gs_vrm,2020,29.9
el_gs_vrm,2021,30.3
el_gs_vrm,2022,30
el_gs_vrm,2023,
vtnf,2003,
vtnf,2004,
vtnf,2005,
vtnf,2006,
vtnf,2007,
vtnf,2008,2.5
vtnf,2009,2.7
vtnf,2010,2.5
vtnf,2011,2.6
vtnf,2012,2.7
vtnf,2013,2.9
vtnf,2014,2.9
vtnf,2015,2.9
vtnf,2016,3.3
vtnf,2017,3.1
vtnf,2018,3.2
vtnf,2019,3.5
vtnf,2020,3.9
vtnf,2021,4.1
vtnf,2022,4
vtnf,2023,
avl_ren,2003,
avl_ren,2004,
avl_ren,2005,
avl_ren,2006,
avl_ren,2007,
avl_ren,2008,19.6
avl_ren,2009,19.8
avl_ren,2010,19.4
avl_ren,2011,21.2
avl_ren,2012,21.6
avl_ren,2013,22.2
avl_ren,2014,22.8
avl_ren,2015,23.1
avl_ren,2016,22.8
avl_ren,2017,23.4
avl_ren,2018,24.4
avl_ren,2019,24.6
avl_ren,2020,24.9
avl_ren,2021,25.4
avl_ren,2022,26.2
avl_ren,2023,
bygg,2003,
bygg,2004,
bygg,2005,
bygg,2006,
bygg,2007,
bygg,2008,292.9
bygg,2009,293.1
bygg,2010,297.9
bygg,2011,312
bygg,2012,316.8
bygg,2013,318.7
bygg,2014,324.6
bygg,2015,332.8
bygg,2016,338.2
bygg,2017,362.9
bygg,2018,375.3
bygg,2019,375.9
bygg,2020,373.7
bygg,2021,381.1
bygg,2022,394.5
bygg,2023,
tjnste_prod,2003,
tjnste_prod,2004,
tjnste_prod,2005,
tjnste_prod,2006,
tjnste_prod,2007,
tjnste_prod,2008,2049.5
tjnste_prod,2009,2042.5
tjnste_prod,2010,2081.5
tjnste_prod,2011,2147.1
tjnste_prod,2012,2171.6
tjnste_prod,2013,2208.2
tjnste_prod,2014,2256.4
tjnste_prod,2015,2298.2
tjnste_prod,2016,2361.5
tjnste_prod,2017,2415.5
tjnste_prod,2018,2460.5
tjnste_prod,2019,2480
tjnste_prod,2020,2425.6
tjnste_prod,2021,2459.4
tjnste_prod,2022,2586.4
tjnste_prod,2023,
hand,2003,
hand,2004,
hand,2005,
hand,2006,
hand,2007,
hand,2008,559
hand,2009,563.3
hand,2010,569.1
hand,2011,578.2
hand,2012,577.9
hand,2013,580
hand,2014,589.1
hand,2015,590.6
hand,2016,592.6
hand,2017,603.6
hand,2018,612.9
hand,2019,614
hand,2020,601.4
hand,2021,609
hand,2022,624.8
hand,2023,
hnd_motc,2003,
hnd_motc,2004,
hnd_motc,2005,
hnd_motc,2006,
hnd_motc,2007,
hnd_motc,2008,71.6
hnd_motc,2009,70.5
hnd_motc,2010,71.4
hnd_motc,2011,73.9
hnd_motc,2012,74.9
hnd_motc,2013,74.9
hnd_motc,2014,76.4
hnd_motc,2015,77.9
hnd_motc,2016,78.1
hnd_motc,2017,81.8
hnd_motc,2018,84.1
hnd_motc,2019,85.5
hnd_motc,2020,84.5
hnd_motc,2021,86.2
hnd_motc,2022,87.8
hnd_motc,2023,
prt_prv,2003,
prt_prv,2004,
prt_prv,2005,
prt_prv,2006,
prt_prv,2007,
prt_prv,2008,207.2
prt_prv,2009,209.3
prt_prv,2010,208.6
prt_prv,2011,210.5
prt_prv,2012,210.7
prt_prv,2013,211
prt_prv,2014,214.4
prt_prv,2015,215
prt_prv,2016,214.2
prt_prv,2017,221.2
prt_prv,2018,225
prt_prv,2019,226.3
prt_prv,2020,220.6
prt_prv,2021,221.7
prt_prv,2022,227.7
prt_prv,2023,
det_hnd,2003,
det_hnd,2004,
det_hnd,2005,
det_hnd,2006,
det_hnd,2007,
det_hnd,2008,280.2
det_hnd,2009,283.5
det_hnd,2010,289.1
det_hnd,2011,293.8
det_hnd,2012,292.3
det_hnd,2013,294.1
det_hnd,2014,298.3
det_hnd,2015,297.7
det_hnd,2016,300.3
det_hnd,2017,300.6
det_hnd,2018,303.8
det_hnd,2019,302.2
det_hnd,2020,296.3
det_hnd,2021,301.1
det_hnd,2022,309.3
det_hnd,2023,
transp_mag,2003,
transp_mag,2004,
transp_mag,2005,
transp_mag,2006,
transp_mag,2007,
transp_mag,2008,239.9
transp_mag,2009,231.3
transp_mag,2010,232.4
transp_mag,2011,236
transp_mag,2012,232.1
transp_mag,2013,231.7
transp_mag,2014,228.4
transp_mag,2015,225.2
transp_mag,2016,229.2
transp_mag,2017,234.1
transp_mag,2018,240.2
transp_mag,2019,243.7
transp_mag,2020,233.9
transp_mag,2021,234.1
transp_mag,2022,239.7
transp_mag,2023,
lnd_transp,2003,
lnd_transp,2004,
lnd_transp,2005,
lnd_transp,2006,
lnd_transp,2007,
lnd_transp,2008,131.2
lnd_transp,2009,127.8
lnd_transp,2010,128.1
lnd_transp,2011,130.4
lnd_transp,2012,129.7
lnd_transp,2013,130.9
lnd_transp,2014,130.6
lnd_transp,2015,130.5
lnd_transp,2016,133.3
lnd_transp,2017,135.9
lnd_transp,2018,139.5
lnd_transp,2019,142.9
lnd_transp,2020,137.9
lnd_transp,2021,137.8
lnd_transp,2022,140.9
lnd_transp,2023,
red,2003,
red,2004,
red,2005,
red,2006,
red,2007,
red,2008,11.8
red,2009,12.1
red,2010,14.2
red,2011,14.5
red,2012,13.2
red,2013,12
red,2014,11
red,2015,10.5
red,2016,10.5
red,2017,10.2
red,2018,10
red,2019,10.1
red,2020,8.8
red,2021,8.2
red,2022,8.9
red,2023,
flg,2003,
flg,2004,
flg,2005,
flg,2006,
flg,2007,
flg,2008,7.9
flg,2009,7.4
flg,2010,7.7
flg,2011,8.6
flg,2012,9.5
flg,2013,9.4
flg,2014,6.7
flg,2015,6.3
flg,2016,6.4
flg,2017,6.6
flg,2018,6.6
flg,2019,6.1
flg,2020,5.1
flg,2021,3.8
flg,2022,4
flg,2023,
mag_std_trans,2003,
mag_std_trans,2004,
mag_std_trans,2005,
mag_std_trans,2006,
mag_std_trans,2007,
mag_std_trans,2008,89
mag_std_trans,2009,84
mag_std_trans,2010,82.4
mag_std_trans,2011,82.5
mag_std_trans,2012,79.7
mag_std_trans,2013,79.4
mag_std_trans,2014,80.1
mag_std_trans,2015,77.9
mag_std_trans,2016,79
mag_std_trans,2017,81.4
mag_std_trans,2018,84.1
mag_std_trans,2019,84.6
mag_std_trans,2020,82.1
mag_std_trans,2021,84.3
mag_std_trans,2022,85.9
mag_std_trans,2023,
htl_rest,2003,
htl_rest,2004,
htl_rest,2005,
htl_rest,2006,
htl_rest,2007,
htl_rest,2008,133.3
htl_rest,2009,136.9
htl_rest,2010,141.3
htl_rest,2011,147.2
htl_rest,2012,154.3
htl_rest,2013,163.6
htl_rest,2014,169.8
htl_rest,2015,177
htl_rest,2016,189.7
htl_rest,2017,193
htl_rest,2018,193.9
htl_rest,2019,192.4
htl_rest,2020,167
htl_rest,2021,161.7
htl_rest,2022,195.9
htl_rest,2023,
frlg_flm,2003,
frlg_flm,2004,
frlg_flm,2005,
frlg_flm,2006,
frlg_flm,2007,
frlg_flm,2008,47.2
frlg_flm,2009,46.9
frlg_flm,2010,45.2
frlg_flm,2011,44.7
frlg_flm,2012,44.8
frlg_flm,2013,45.5
frlg_flm,2014,45.4
frlg_flm,2015,46.8
frlg_flm,2016,45.9
frlg_flm,2017,47.8
frlg_flm,2018,47.1
frlg_flm,2019,49.1
frlg_flm,2020,49.6
frlg_flm,2021,51.9
frlg_flm,2022,54.5
frlg_flm,2023,
frlg,2003,
frlg,2004,
frlg,2005,
frlg,2006,
frlg,2007,
frlg,2008,35.4
frlg,2009,34.6
frlg,2010,32.8
frlg,2011,32.3
frlg,2012,32.2
frlg,2013,32.1
frlg,2014,31.8
frlg,2015,33.3
frlg,2016,32.2
frlg,2017,32.9
frlg,2018,32.3
frlg,2019,33.6
frlg,2020,33.6
frlg,2021,35
frlg,2022,36.5
frlg,2023,
flm_ljd_vid,2003,
flm_ljd_vid,2004,
flm_ljd_vid,2005,
flm_ljd_vid,2006,
flm_ljd_vid,2007,
flm_ljd_vid,2008,11.8
flm_ljd_vid,2009,12.3
flm_ljd_vid,2010,12.4
flm_ljd_vid,2011,12.4
flm_ljd_vid,2012,12.6
flm_ljd_vid,2013,13.4
flm_ljd_vid,2014,13.6
flm_ljd_vid,2015,13.5
flm_ljd_vid,2016,13.7
flm_ljd_vid,2017,14.9
flm_ljd_vid,2018,14.8
flm_ljd_vid,2019,15.5
flm_ljd_vid,2020,16
flm_ljd_vid,2021,16.9
flm_ljd_vid,2022,18
flm_ljd_vid,2023,
telekom,2003,
telekom,2004,
telekom,2005,
telekom,2006,
telekom,2007,
telekom,2008,25.8
telekom,2009,25.5
telekom,2010,23.5
telekom,2011,22.1
telekom,2012,22.4
telekom,2013,22.6
telekom,2014,22.9
telekom,2015,24
telekom,2016,23.8
telekom,2017,23.6
telekom,2018,23.2
telekom,2019,22.3
telekom,2020,22
telekom,2021,21.5
telekom,2022,21.2
telekom,2023,
prog_inf,2003,
prog_inf,2004,
prog_inf,2005,
prog_inf,2006,
prog_inf,2007,
prog_inf,2008,113.8
prog_inf,2009,109.6
prog_inf,2010,109.6
prog_inf,2011,113.3
prog_inf,2012,116.6
prog_inf,2013,116.9
prog_inf,2014,120.5
prog_inf,2015,124.8
prog_inf,2016,124.5
prog_inf,2017,131.1
prog_inf,2018,137.5
prog_inf,2019,143
prog_inf,2020,146
prog_inf,2021,151.7
prog_inf,2022,163.8
prog_inf,2023,
fnans_frsk,2003,
fnans_frsk,2004,
fnans_frsk,2005,
fnans_frsk,2006,
fnans_frsk,2007,
fnans_frsk,2008,89.6
fnans_frsk,2009,87.5
fnans_frsk,2010,87.3
fnans_frsk,2011,88.9
fnans_frsk,2012,89.6
fnans_frsk,2013,89.5
fnans_frsk,2014,89.7
fnans_frsk,2015,88.8
fnans_frsk,2016,87.2
fnans_frsk,2017,85.4
fnans_frsk,2018,87
fnans_frsk,2019,91.4
fnans_frsk,2020,98.4
fnans_frsk,2021,101.4
fnans_frsk,2022,105.5
fnans_frsk,2023,
bnk_kred,2003,
bnk_kred,2004,
bnk_kred,2005,
bnk_kred,2006,
bnk_kred,2007,
bnk_kred,2008,49.4
bnk_kred,2009,48.5
bnk_kred,2010,48.2
bnk_kred,2011,49.3
bnk_kred,2012,49.3
bnk_kred,2013,48.2
bnk_kred,2014,48.1
bnk_kred,2015,49
bnk_kred,2016,50.9
bnk_kred,2017,48.4
bnk_kred,2018,49.8
bnk_kred,2019,54.1
bnk_kred,2020,58.1
bnk_kred,2021,59.6
bnk_kred,2022,62.3
bnk_kred,2023,
frsk_pens,2003,
frsk_pens,2004,
frsk_pens,2005,
frsk_pens,2006,
frsk_pens,2007,
frsk_pens,2008,25.1
frsk_pens,2009,24.5
frsk_pens,2010,24.3
frsk_pens,2011,24.4
frsk_pens,2012,25.6
frsk_pens,2013,25.9
frsk_pens,2014,26.4
frsk_pens,2015,25.1
frsk_pens,2016,22.6
frsk_pens,2017,23.1
frsk_pens,2018,23.5
frsk_pens,2019,21.7
frsk_pens,2020,23.1
frsk_pens,2021,23.9
frsk_pens,2022,24.3
frsk_pens,2023,
serv_frsk,2003,
serv_frsk,2004,
serv_frsk,2005,
serv_frsk,2006,
serv_frsk,2007,
serv_frsk,2008,15.1
serv_frsk,2009,14.5
serv_frsk,2010,14.8
serv_frsk,2011,15.2
serv_frsk,2012,14.7
serv_frsk,2013,15.4
serv_frsk,2014,15.2
