country,year,arbk_tim
hnd_motc,2023,
prt_prv,2003,
prt_prv,2004,
prt_prv,2005,
prt_prv,2006,
prt_prv,2007,
prt_prv,2008,365
prt_prv,2009,361
prt_prv,2010,359
prt_prv,2011,376
prt_prv,2012,365
prt_prv,2013,355
prt_prv,2014,364
prt_prv,2015,375
prt_prv,2016,378
prt_prv,2017,392
prt_prv,2018,404
prt_prv,2019,399
prt_prv,2020,365
prt_prv,2021,373
prt_prv,2022,403
prt_prv,2023,
det_hnd,2003,
det_hnd,2004,
det_hnd,2005,
det_hnd,2006,
det_hnd,2007,
det_hnd,2008,411
det_hnd,2009,415
det_hnd,2010,438
det_hnd,2011,437
det_hnd,2012,430
det_hnd,2013,437
det_hnd,2014,448
det_hnd,2015,446
det_hnd,2016,454
det_hnd,2017,452
det_hnd,2018,452
det_hnd,2019,452
det_hnd,2020,428
det_hnd,2021,445
det_hnd,2022,471
det_hnd,2023,
transp_mag,2003,
transp_mag,2004,
transp_mag,2005,
transp_mag,2006,
transp_mag,2007,
transp_mag,2008,446
transp_mag,2009,417
transp_mag,2010,437
transp_mag,2011,442
transp_mag,2012,426
transp_mag,2013,420
transp_mag,2014,414
transp_mag,2015,413
transp_mag,2016,417
transp_mag,2017,425
transp_mag,2018,428
transp_mag,2019,424
transp_mag,2020,396
transp_mag,2021,405
transp_mag,2022,413
transp_mag,2023,
lnd_transp,2003,
lnd_transp,2004,
lnd_transp,2005,
lnd_transp,2006,
lnd_transp,2007,
lnd_transp,2008,255
lnd_transp,2009,239
lnd_transp,2010,254
lnd_transp,2011,262
lnd_transp,2012,256
lnd_transp,2013,254
lnd_transp,2014,252
lnd_transp,2015,251
lnd_transp,2016,254
lnd_transp,2017,264
lnd_transp,2018,267
lnd_transp,2019,268
lnd_transp,2020,250
lnd_transp,2021,254
lnd_transp,2022,254
lnd_transp,2023,
red,2003,
red,2004,
red,2005,
red,2006,
red,2007,
red,2008,21
red,2009,21
red,2010,22
red,2011,21
red,2012,18
red,2013,16
red,2014,15
red,2015,15
red,2016,13
red,2017,14
red,2018,14
red,2019,15
red,2020,12
red,2021,11
red,2022,13
red,2023,
flg,2003,
flg,2004,
flg,2005,
flg,2006,
flg,2007,
flg,2008,13
flg,2009,11
flg,2010,12
flg,2011,13
flg,2012,16
flg,2013,15
flg,2014,11
flg,2015,10
flg,2016,10
flg,2017,10
flg,2018,11
flg,2019,11
flg,2020,8
flg,2021,6
flg,2022,7
flg,2023,
mag_std_trans,2003,
mag_std_trans,2004,
mag_std_trans,2005,
mag_std_trans,2006,
mag_std_trans,2007,
mag_std_trans,2008,157
mag_std_trans,2009,146
mag_std_trans,2010,148
mag_std_trans,2011,146
mag_std_trans,2012,137
mag_std_trans,2013,135
mag_std_trans,2014,136
mag_std_trans,2015,137
mag_std_trans,2016,140
mag_std_trans,2017,136
mag_std_trans,2018,136
mag_std_trans,2019,130
mag_std_trans,2020,126
mag_std_trans,2021,134
mag_std_trans,2022,139
mag_std_trans,2023,
htl_rest,2003,
htl_rest,2004,
htl_rest,2005,
htl_rest,2006,
htl_rest,2007,
htl_rest,2008,212
htl_rest,2009,213
htl_rest,2010,229
htl_rest,2011,237
htl_rest,2012,246
htl_rest,2013,261
htl_rest,2014,269
htl_rest,2015,283
htl_rest,2016,299
htl_rest,2017,306
htl_rest,2018,312
htl_rest,2019,309
htl_rest,2020,252
htl_rest,2021,235
htl_rest,2022,285
htl_rest,2023,
frlg_flm,2003,
frlg_flm,2004,
frlg_flm,2005,
frlg_flm,2006,
frlg_flm,2007,
frlg_flm,2008,71
frlg_flm,2009,70
frlg_flm,2010,68
frlg_flm,2011,69
frlg_flm,2012,69
frlg_flm,2013,68
frlg_flm,2014,68
frlg_flm,2015,77
frlg_flm,2016,75
frlg_flm,2017,76
frlg_flm,2018,79
frlg_flm,2019,76
frlg_flm,2020,77
frlg_flm,2021,84
frlg_flm,2022,83
frlg_flm,2023,
frlg,2003,
frlg,2004,
frlg,2005,
frlg,2006,
frlg,2007,
frlg,2008,54
frlg,2009,52
frlg,2010,50
frlg,2011,50
frlg,2012,49
frlg,2013,48
frlg,2014,47
frlg,2015,55
frlg,2016,52
frlg,2017,54
frlg,2018,56
frlg,2019,53
frlg,2020,54
frlg,2021,58
frlg,2022,59
frlg,2023,
flm_ljd_vid,2003,
flm_ljd_vid,2004,
flm_ljd_vid,2005,
flm_ljd_vid,2006,
flm_ljd_vid,2007,
flm_ljd_vid,2008,17
flm_ljd_vid,2009,18
flm_ljd_vid,2010,18
flm_ljd_vid,2011,19
flm_ljd_vid,2012,20
flm_ljd_vid,2013,20
flm_ljd_vid,2014,21
flm_ljd_vid,2015,22
flm_ljd_vid,2016,23
flm_ljd_vid,2017,22
flm_ljd_vid,2018,23
flm_ljd_vid,2019,23
flm_ljd_vid,2020,23
flm_ljd_vid,2021,26
flm_ljd_vid,2022,24
flm_ljd_vid,2023,
telekom,2003,
telekom,2004,
telekom,2005,
telekom,2006,
telekom,2007,
telekom,2008,52
telekom,2009,51
telekom,2010,49
telekom,2011,46
telekom,2012,47
telekom,2013,45
telekom,2014,47
telekom,2015,45
telekom,2016,44
telekom,2017,43
telekom,2018,40
telekom,2019,40
telekom,2020,38
telekom,2021,39
telekom,2022,38
telekom,2023,
prog_inf,2003,
prog_inf,2004,
prog_inf,2005,
prog_inf,2006,
prog_inf,2007,
prog_inf,2008,204
prog_inf,2009,191
prog_inf,2010,199
prog_inf,2011,211
prog_inf,2012,212
prog_inf,2013,212
prog_inf,2014,222
prog_inf,2015,227
prog_inf,2016,220
prog_inf,2017,227
prog_inf,2018,242
prog_inf,2019,259
prog_inf,2020,265
prog_inf,2021,267
prog_inf,2022,297
prog_inf,2023,
fnans_frsk,2003,
fnans_frsk,2004,
fnans_frsk,2005,
fnans_frsk,2006,
fnans_frsk,2007,
fnans_frsk,2008,149
fnans_frsk,2009,145
fnans_frsk,2010,146
fnans_frsk,2011,147
fnans_frsk,2012,143
fnans_frsk,2013,141
fnans_frsk,2014,142
fnans_frsk,2015,143
fnans_frsk,2016,143
fnans_frsk,2017,134
fnans_frsk,2018,135
fnans_frsk,2019,139
fnans_frsk,2020,160
fnans_frsk,2021,162
fnans_frsk,2022,166
fnans_frsk,2023,
bnk_kred,2003,
bnk_kred,2004,
bnk_kred,2005,
bnk_kred,2006,
bnk_kred,2007,
bnk_kred,2008,81
bnk_kred,2009,79
bnk_kred,2010,79
bnk_kred,2011,80
bnk_kred,2012,78
bnk_kred,2013,74
bnk_kred,2014,74
bnk_kred,2015,77
bnk_kred,2016,81
bnk_kred,2017,74
bnk_kred,2018,75
bnk_kred,2019,83
bnk_kred,2020,93
bnk_kred,2021,92
bnk_kred,2022,95
bnk_kred,2023,
frsk_pens,2003,
frsk_pens,2004,
frsk_pens,2005,
frsk_pens,2006,
frsk_pens,2007,
frsk_pens,2008,38
frsk_pens,2009,38
frsk_pens,2010,38
frsk_pens,2011,37
frsk_pens,2012,39
frsk_pens,2013,39
frsk_pens,2014,39
frsk_pens,2015,40
frsk_pens,2016,36
frsk_pens,2017,34
frsk_pens,2018,36
frsk_pens,2019,31
frsk_pens,2020,36
frsk_pens,2021,39
frsk_pens,2022,39
frsk_pens,2023,
serv_frsk,2003,
serv_frsk,2004,
serv_frsk,2005,
serv_frsk,2006,
serv_frsk,2007,
serv_frsk,2008,29
serv_frsk,2009,28
serv_frsk,2010,29
serv_frsk,2011,30
serv_frsk,2012,27
serv_frsk,2013,28
serv_frsk,2014,28
serv_frsk,2015,27
serv_frsk,2016,25
serv_frsk,2017,25
serv_frsk,2018,24
serv_frsk,2019,25
serv_frsk,2020,31
serv_frsk,2021,32
serv_frsk,2022,31
serv_frsk,2023,
sm_hus,2003,
sm_hus,2004,
sm_hus,2005,
sm_hus,2006,
sm_hus,2007,
sm_hus,2008,
sm_hus,2009,
sm_hus,2010,
sm_hus,2011,
sm_hus,2012,
sm_hus,2013,
sm_hus,2014,
sm_hus,2015,
sm_hus,2016,
sm_hus,2017,
sm_hus,2018,
sm_hus,2019,
sm_hus,2020,
sm_hus,2021,
sm_hus,2022,
sm_hus,2023,
fast_ovrg,2003,
fast_ovrg,2004,
fast_ovrg,2005,
fast_ovrg,2006,
fast_ovrg,2007,
fast_ovrg,2008,111
fast_ovrg,2009,111
fast_ovrg,2010,114
fast_ovrg,2011,117
fast_ovrg,2012,118
fast_ovrg,2013,122
fast_ovrg,2014,122
fast_ovrg,2015,127
fast_ovrg,2016,129
fast_ovrg,2017,133
fast_ovrg,2018,139
fast_ovrg,2019,142
fast_ovrg,2020,137
fast_ovrg,2021,143
fast_ovrg,2022,145
fast_ovrg,2023,
jur_ek_hvd,2003,
jur_ek_hvd,2004,
jur_ek_hvd,2005,
jur_ek_hvd,2006,
jur_ek_hvd,2007,
jur_ek_hvd,2008,128
jur_ek_hvd,2009,126
jur_ek_hvd,2010,133
jur_ek_hvd,2011,138
jur_ek_hvd,2012,141
jur_ek_hvd,2013,146
jur_ek_hvd,2014,150
jur_ek_hvd,2015,156
jur_ek_hvd,2016,157
jur_ek_hvd,2017,165
jur_ek_hvd,2018,176
jur_ek_hvd,2019,182
jur_ek_hvd,2020,176
jur_ek_hvd,2021,184
jur_ek_hvd,2022,199
jur_ek_hvd,2023,
ark_tek_vet,2003,
ark_tek_vet,2004,
ark_tek_vet,2005,
ark_tek_vet,2006,
ark_tek_vet,2007,
ark_tek_vet,2008,145
ark_tek_vet,2009,148
ark_tek_vet,2010,153
ark_tek_vet,2011,156
ark_tek_vet,2012,156
ark_tek_vet,2013,161
ark_tek_vet,2014,161
ark_tek_vet,2015,164
ark_tek_vet,2016,179
ark_tek_vet,2017,185
ark_tek_vet,2018,192
ark_tek_vet,2019,204
ark_tek_vet,2020,193
ark_tek_vet,2021,202
ark_tek_vet,2022,225
ark_tek_vet,2023,
rek_mrknd,2003,
rek_mrknd,2004,
rek_mrknd,2005,
rek_mrknd,2006,
rek_mrknd,2007,
rek_mrknd,2008,91
rek_mrknd,2009,86
rek_mrknd,2010,90
rek_mrknd,2011,88
rek_mrknd,2012,87
rek_mrknd,2013,85
rek_mrknd,2014,84
rek_mrknd,2015,88
rek_mrknd,2016,90
rek_mrknd,2017,94
rek_mrknd,2018,88
rek_mrknd,2019,87
rek_mrknd,2020,82
rek_mrknd,2021,85
rek_mrknd,2022,89
rek_mrknd,2023,
hyr_fast,2003,
hyr_fast,2004,
hyr_fast,2005,
hyr_fast,2006,
hyr_fast,2007,
hyr_fast,2008,341
hyr_fast,2009,318
hyr_fast,2010,347
hyr_fast,2011,373
hyr_fast,2012,366
hyr_fast,2013,373
hyr_fast,2014,383
hyr_fast,2015,401
hyr_fast,2016,434
hyr_fast,2017,438
hyr_fast,2018,454
hyr_fast,2019,450
hyr_fast,2020,423
hyr_fast,2021,447
hyr_fast,2022,479
hyr_fast,2023,
uthyrf,2003,
uthyrf,2004,
uthyrf,2005,
